,1,2,3,4,5,6,7
0,"Aug 29, 2023","3,127.47","3,154.48","3,126.73","3,153.05","3,153.05","1,883,700"
1,"Aug 28, 2023","3,099.18","3,130.79","3,099.05","3,127.47","3,127.47","1,255,200"
2,"Aug 25, 2023","3,094.33","3,115.00","3,092.63","3,098.91","3,098.91","1,830,000"
3,"Aug 24, 2023","3,098.59","3,116.63","3,090.72","3,094.07","3,094.07","1,603,200"
4,"Aug 23, 2023","3,138.62","3,152.11","3,097.07","3,098.59","3,098.59","2,056,200"
5,"Aug 22, 2023","3,116.60","3,151.98","3,116.60","3,138.51","3,138.51","1,892,000"
6,"Aug 21, 2023","3,116.59","3,139.11","3,110.17","3,115.32","3,115.32","1,871,500"
7,"Aug 18, 2023","3,125.78","3,125.78","3,095.73","3,117.28","3,117.28","2,200,100"
8,"Aug 17, 2023","3,140.02","3,147.02","3,119.79","3,125.66","3,125.66","1,998,500"
9,"Aug 16, 2023","3,125.39","3,152.47","3,115.73","3,140.75","3,140.75","1,991,300"
10,"Aug 15, 2023","3,148.15","3,156.21","3,121.14","3,124.52","3,124.52","1,417,300"
11,"Aug 14, 2023","3,147.14","3,158.52","3,136.66","3,148.32","3,148.32","1,389,200"
12,"Aug 11, 2023","3,173.65","3,175.25","3,136.87","3,147.14","3,147.14","2,440,700"
13,"Aug 10, 2023","3,183.82","3,185.03","3,166.74","3,172.35","3,172.35","3,117,100"
14,"Aug 09, 2023","3,171.33","3,189.72","3,166.73","3,183.66","3,183.66","2,209,300"
15,"Aug 08, 2023","3,206.41","3,206.41","3,151.33","3,167.52","3,167.52","2,543,400"
16,"Aug 07, 2023","3,200.08","3,211.17","3,187.14","3,206.41","3,206.41","1,787,800"
17,"Aug 04, 2023","3,193.10","3,207.65","3,186.17","3,200.02","3,200.02","2,024,900"
18,"Aug 03, 2023","3,182.32","3,193.92","3,152.60","3,193.32","3,193.32","2,378,600"
19,"Aug 02, 2023","3,223.68","3,223.68","3,181.17","3,181.74","3,181.74","2,848,000"
20,"Aug 01, 2023","3,246.16","3,253.30","3,223.12","3,227.99","3,227.99","2,785,000"
21,"Jul 31, 2023","3,214.55","3,266.95","3,214.55","3,245.98","3,245.98","3,065,100"
