,1,2,3,4,5,6,7
0,"Aug 29, 2023","4,304.62","4,375.39","4,303.05","4,369.64","4,369.64",-
1,"Aug 28, 2023","4,258.52","4,298.01","4,258.52","4,294.21","4,294.21",-
2,"Aug 25, 2023","4,216.08","4,259.70","4,213.40","4,232.24","4,232.24",-
3,"Aug 24, 2023","4,263.55","4,281.23","4,226.06","4,227.12","4,227.12",-
4,"Aug 23, 2023","4,244.35","4,261.81","4,237.59","4,252.44","4,252.44",-
5,"Aug 22, 2023","4,222.35","4,258.33","4,221.12","4,240.55","4,240.55",-
6,"Aug 21, 2023","4,210.98","4,242.66","4,201.44","4,201.61","4,201.61",-
7,"Aug 18, 2023","4,205.24","4,220.16","4,183.30","4,209.88","4,209.88",-
8,"Aug 17, 2023","4,220.15","4,249.14","4,210.54","4,226.16","4,226.16",-
9,"Aug 16, 2023","4,223.19","4,249.79","4,222.84","4,232.57","4,232.57",-
10,"Aug 15, 2023","4,273.81","4,279.53","4,243.52","4,246.95","4,246.95",-
11,"Aug 14, 2023","4,290.08","4,304.94","4,264.82","4,270.61","4,270.61",-
12,"Aug 11, 2023","4,333.12","4,342.17","4,292.14","4,303.85","4,303.85",-
13,"Aug 10, 2023","4,337.09","4,365.50","4,335.41","4,349.05","4,349.05",-
14,"Aug 09, 2023","4,306.42","4,345.12","4,304.32","4,318.35","4,318.35",-
15,"Aug 08, 2023","4,276.49","4,285.24","4,260.97","4,265.71","4,265.71",-
16,"Aug 07, 2023","4,285.32","4,308.98","4,274.42","4,298.17","4,298.17",-
17,"Aug 04, 2023","4,275.49","4,293.79","4,261.29","4,291.94","4,291.94",-
18,"Aug 03, 2023","4,290.71","4,290.94","4,259.60","4,266.43","4,266.43",-
19,"Aug 02, 2023","4,340.75","4,340.75","4,282.32","4,309.41","4,309.41",-
20,"Aug 01, 2023","4,377.92","4,395.54","4,372.84","4,376.34","4,376.34",-
21,"Jul 31, 2023","4,379.84","4,388.71","4,374.03","4,388.24","4,388.24",-
22,"Jul 28, 2023","4,377.65","4,393.51","4,369.98","4,385.13","4,385.13",-
23,"Jul 27, 2023","4,445.35","4,446.82","4,383.82","4,384.29","4,384.29",-
24,"Jul 26, 2023","4,470.72","4,475.51","4,403.73","4,437.67","4,437.67",-
25,"Jul 25, 2023","4,411.86","4,485.60","4,406.16","4,479.52","4,479.52",-
26,"Jul 24, 2023","4,394.71","4,415.72","4,378.20","4,412.14","4,412.14",-
27,"Jul 21, 2023","4,386.83","4,421.52","4,376.18","4,397.96","4,397.96",-
28,"Jul 20, 2023","4,416.85","4,425.75","4,386.01","4,405.25","4,405.25",-
29,"Jul 19, 2023","4,424.54","4,436.23","4,409.18","4,419.30","4,419.30",-
30,"Jul 18, 2023","4,371.37","4,418.03","4,359.55","4,410.34","4,410.34",-
31,"Jul 17, 2023","4,383.83","4,406.40","4,365.37","4,377.14","4,377.14",-
32,"Jul 14, 2023","4,428.61","4,435.33","4,397.36","4,403.80","4,403.80",-
33,"Jul 13, 2023","4,457.87","4,482.27","4,443.12","4,467.76","4,467.76",-
34,"Jul 12, 2023","4,394.76","4,444.21","4,380.34","4,441.49","4,441.49",-
35,"Jul 11, 2023","4,376.47","4,388.39","4,350.18","4,385.39","4,385.39",-
36,"Jul 10, 2023","4,353.93","4,374.01","4,335.88","4,355.55","4,355.55",-
37,"Jul 07, 2023","4,357.96","4,370.45","4,337.87","4,364.99","4,364.99",-
38,"Jul 06, 2023","4,408.42","4,423.38","4,345.26","4,352.27","4,352.27",-
39,"Jul 05, 2023","4,445.61","4,450.64","4,416.84","4,433.59","4,433.59",-
40,"Jul 04, 2023","4,461.98","4,483.45","4,461.23","4,461.54","4,461.54","18,846,000"
