,1,2,3,4,5,6,7
0,"Aug 29, 2023",28.68,29.15,28.68,29.15,29.15,"5,300"
1,"Aug 28, 2023",28.59,28.74,28.59,28.74,28.74,"3,100"
2,"Aug 25, 2023",28.42,28.43,28.26,28.43,28.43,"4,300"
3,"Aug 24, 2023",28.42,28.42,28.24,28.24,28.24,"2,200"
4,"Aug 23, 2023",28.54,28.67,28.50,28.65,28.65,"27,200"
5,"Aug 22, 2023",28.69,28.69,28.51,28.58,28.58,"5,900"
6,"Aug 21, 2023",28.52,28.68,28.42,28.60,28.60,"1,800"
7,"Aug 18, 2023",28.22,28.46,28.16,28.39,28.39,"3,800"
8,"Aug 17, 2023",28.76,28.76,28.40,28.53,28.53,"9,300"
9,"Aug 16, 2023",28.79,28.86,28.63,28.63,28.63,"3,100"
10,"Aug 15, 2023",28.84,28.84,28.75,28.75,28.75,"1,000"
11,"Aug 14, 2023",28.99,29.15,28.95,29.15,29.15,"4,700"
12,"Aug 11, 2023",29.17,29.17,29.04,29.07,29.07,"3,700"
13,"Aug 10, 2023",29.53,29.65,29.31,29.31,29.31,"4,200"
14,"Aug 09, 2023",29.17,29.35,29.17,29.19,29.19,"3,800"
15,"Aug 08, 2023",29.01,29.15,28.89,29.15,29.15,"9,700"
16,"Aug 07, 2023",29.37,29.50,29.28,29.50,29.50,"4,200"
17,"Aug 04, 2023",29.26,29.55,29.15,29.17,29.17,"43,200"
18,"Aug 03, 2023",29.08,29.24,29.03,29.23,29.23,"28,100"
19,"Aug 02, 2023",29.69,29.69,29.25,29.30,29.30,"57,700"
20,"Aug 01, 2023",30.08,30.08,29.80,29.99,29.99,"3,700"
21,"Jul 31, 2023",30.53,30.62,30.35,30.41,30.41,"14,300"
22,"Jul 28, 2023",30.27,30.52,30.27,30.49,30.49,"4,500"
23,"Jul 27, 2023",30.28,30.33,30.00,30.00,30.00,"10,800"
24,"Jul 26, 2023",29.71,30.08,29.71,30.08,30.08,"1,900"
25,"Jul 25, 2023",29.99,30.10,29.93,30.10,30.10,"14,600"
26,"Jul 24, 2023",30.01,30.13,29.97,29.97,29.97,"7,400"
27,"Jul 21, 2023",30.05,30.22,30.05,30.15,30.15,"4,500"
28,"Jul 20, 2023",30.30,30.30,30.03,30.15,30.15,"6,600"
29,"Jul 19, 2023",30.32,30.40,30.21,30.32,30.32,"6,000"
30,"Jul 18, 2023",30.30,30.41,30.29,30.41,30.41,"26,100"
31,"Jul 17, 2023",30.17,30.43,30.12,30.43,30.43,"2,900"
32,"Jul 14, 2023",30.31,30.31,30.31,30.31,30.31,-
33,"Jul 13, 2023",30.39,30.46,30.35,30.46,30.46,"4,900"
34,"Jul 12, 2023",29.77,30.01,29.77,30.00,30.00,"6,400"
35,"Jul 11, 2023",29.09,29.25,29.08,29.24,29.24,"7,700"
36,"Jul 10, 2023",28.82,29.01,28.79,28.93,28.93,"22,300"
37,"Jul 07, 2023",28.58,28.84,28.58,28.83,28.83,"3,600"
38,"Jul 06, 2023",28.63,28.63,28.27,28.46,28.46,"43,000"
39,"Jul 05, 2023",29.28,29.28,28.94,29.06,29.06,"6,100"
40,"Jul 03, 2023",29.52,29.52,29.42,29.52,29.52,"2,400"
41,"Jun 30, 2023",29.58,29.66,29.48,29.61,29.61,"4,500"
42,"Jun 29, 2023",29.14,29.27,28.94,29.19,29.19,"17,700"
