,Date,Value (Millions USD),Country,Partner
0,2022-01,4919.904689,IT,FR
1,2022-02,5430.155069,IT,FR
2,2022-03,6463.399315,IT,FR
3,2022-04,5523.054039,IT,FR
4,2022-05,6295.09425,IT,FR
5,2022-06,5874.111647,IT,FR
6,2022-07,5601.685039,IT,FR
7,2022-08,3814.040038,IT,FR
8,2022-09,5643.294179,IT,FR
9,2022-10,5327.531123,IT,FR
10,2022-11,5434.308923,IT,FR
0,2022-01,64.400442,IT,CO
1,2022-02,75.822642,IT,CO
2,2022-03,90.492447,IT,CO
3,2022-04,76.619347,IT,CO
4,2022-05,86.571416,IT,CO
5,2022-06,78.792057,IT,CO
6,2022-07,77.169696,IT,CO
7,2022-08,71.344488,IT,CO
8,2022-09,83.666179,IT,CO
9,2022-10,79.456544,IT,CO
10,2022-11,81.049063,IT,CO
