date,value,reporter,partner
2022-01-01,386142995.678,Andorra,World
2022-01-01,597.151,Andorra,Albania
2022-01-01,1219608.477,Andorra,Algeria
2022-01-01,2955.972,Andorra,Angola
2022-01-01,2665.989,Andorra,Azerbaijan
2022-01-01,35716.137,Andorra,Argentina
2022-01-01,962013.191,Andorra,Australia
2022-01-01,91729.893,Andorra,Austria
2022-01-01,3069.442,Andorra,Bahrain
2022-01-01,6070.087,Andorra,Armenia
2022-01-01,1121993.204,Andorra,Belgium
2022-01-01,206.401,Andorra,Bermuda
2022-01-01,81.711,Andorra,Bosnia Herzegovina
2022-01-01,23265.514,Andorra,Brazil
2022-01-01,41.96,Andorra,Br. Virgin Isds
2022-01-01,193.876,Andorra,Brunei Darussalam
2022-01-01,45757.797,Andorra,Bulgaria
2022-01-01,18161.655,Andorra,Belarus
2022-01-01,10098.994,Andorra,Cambodia
2022-01-01,175418.325,Andorra,Canada
2022-01-01,942.103,Andorra,Cayman Isds
2022-01-01,685696.641,Andorra,Chile
2022-01-01,992719.814,Andorra,China
2022-01-01,16218.738,Andorra,Colombia
2022-01-01,6117.304,Andorra,Costa Rica
2022-01-01,830660.126,Andorra,Croatia
2022-01-01,60738.16,Andorra,Cuba
2022-01-01,20867.468,Andorra,Cyprus
2022-01-01,38846.132,Andorra,Czechia
2022-01-01,59404.584,Andorra,Denmark
2022-01-01,6015.298,Andorra,Dominican Rep.
2022-01-01,10.516,Andorra,Ecuador
2022-01-01,1197485.895,Andorra,El Salvador
2022-01-01,4975.205,Andorra,Estonia
2022-01-01,9492.536,Andorra,Finland
2022-01-01,24062694.338,Andorra,France
2022-01-01,78.766,Andorra,French Polynesia
2022-01-01,2680.196,Andorra,Georgia
2022-01-01,5644264.751,Andorra,Germany
2022-01-01,355.258,Andorra,Gibraltar
2022-01-01,15432.748,Andorra,Greece
2022-01-01,494172.556,Andorra,Guatemala
2022-01-01,1450.56,Andorra,Guyana
2022-01-01,14.512,Andorra,Haiti
2022-01-01,649317.649,Andorra,Honduras
2022-01-01,1381783.549,Andorra,"China, Hong Kong SAR"
2022-01-01,2085776.415,Andorra,Hungary
2022-01-01,4605.509,Andorra,Iceland
2022-01-01,3003.695,Andorra,Indonesia
2022-01-01,406.987,Andorra,Iran
2022-01-01,1028.956,Andorra,Iraq
2022-01-01,46852.395,Andorra,Ireland
2022-01-01,17741.597,Andorra,Israel
2022-01-01,1628909.427,Andorra,Italy
2022-01-01,137358.36,Andorra,Japan
2022-01-01,17804.305,Andorra,Kazakhstan
2022-01-01,87902.613,Andorra,Jordan
2022-01-01,637.333,Andorra,Dem. People's Rep. of Korea
2022-01-01,72052.235,Andorra,Rep. of Korea
2022-01-01,132893.917,Andorra,Kuwait
2022-01-01,2414.936,Andorra,Kyrgyzstan
2022-01-01,927864.637,Andorra,Lebanon
2022-01-01,87135.867,Andorra,Lithuania
2022-01-01,19750.682,Andorra,Luxembourg
2022-01-01,12031.678,Andorra,"China, Macao SAR"
2022-01-01,41.96,Andorra,Madagascar
2022-01-01,2882.98,Andorra,Malaysia
2022-01-01,8122.604,Andorra,Malta
2022-01-01,319192.387,Andorra,Mauritius
2022-01-01,334605.144,Andorra,Mexico
