date,value,reporter,partner
2016-01-01,2477596795.734,Algeria,World
2016-01-01,5744153.835,Andorra,World
2016-01-01,1830603213.52,Angola,World
2016-01-01,573023.664,Antigua and Barbuda,World
2016-01-01,651813379.53,Azerbaijan,World
2016-01-01,3875355523,Argentina,World
2016-01-01,12359534080.885,Australia,World
2016-01-01,10955425201.86,Austria,World
2016-01-01,953572945.841,Bahrain,World
2016-01-01,89455560.38,Armenia,World
2016-01-01,75580788,Barbados,World
2016-01-01,19292409871.558,Belgium,World
2016-01-01,547901.15,Bermuda,World
2016-01-01,527888760.86,Bolivia (Plurinational State of),World
2016-01-01,357343253,Bosnia Herzegovina,World
2016-01-01,11024617489,Brazil,World
2016-01-01,14456076.738,Belize,World
2016-01-01,28771115.32,Solomon Isds,World
2016-01-01,501139951.118,Brunei Darussalam,World
2016-01-01,1894087382.054,Bulgaria,World
2016-01-01,832831154.384,Myanmar,World
2016-01-01,3996464.093,Burundi,World
2016-01-01,1584893000,Belarus,World
2016-01-01,316729473.61,Cambodia,World
2016-01-01,30661384053.428,Canada,World
2016-01-01,5103718164.364,Chile,World
2016-01-01,169398917901,China,World
2016-01-01,1869035585.1,Colombia,World
2016-01-01,3123328.05,Comoros,World
2016-01-01,1027279746.47,Congo,World
2016-01-01,814319810.14,Dem. Rep. of the Congo,World
2016-01-01,835789163,Croatia,World
2016-01-01,335976037.2,Cyprus,World
2016-01-01,12731676853,Czechia,World
2016-01-01,49220980.33,Benin,World
2016-01-01,7026017187.922,Denmark,World
2016-01-01,608140494.448,Dominican Rep.,World
2016-01-01,1157106346.867,Ecuador,World
2016-01-01,410620745.75,El Salvador,World
2016-01-01,141815117.25,Ethiopia,World
2016-01-01,76068467.742,Fiji,World
2016-01-01,3890596929.822,Finland,World
2016-01-01,36559902413.082,France,World
2016-01-01,6639011.667,French Polynesia,World
2016-01-01,122343027.28,Georgia,World
2016-01-01,2364131.329,Gambia,World
2016-01-01,96752018680.632,Germany,World
2016-01-01,841551501.32,Ghana,World
2016-01-01,1841130801.78,Greece,World
2016-01-01,19336417.36,Greenland,World
2016-01-01,2539975.979,Grenada,World
2016-01-01,846121201,Guatemala,World
2016-01-01,84251426.632,Guyana,World
2016-01-01,327013693,Honduras,World
2016-01-01,40655216872.287,"China, Hong Kong SAR",World
2016-01-01,7365214959,Hungary,World
2016-01-01,352054959.395,Iceland,World
2016-01-01,10581882857.978,Indonesia,World
2016-01-01,9657721236.09,Ireland,World
2016-01-01,5253461000,Israel,World
2016-01-01,30157406233.05,Italy,World
