date,value,reporter,partner
2018-01-01,884504496.37,Afghanistan,World
2018-01-01,2875859778.765,Albania,World
2018-01-01,129335364.186,Andorra,World
2018-01-01,40664718814.96,Angola,World
2018-01-01,25841081.559,Antigua and Barbuda,World
2018-01-01,19489068203.82,Azerbaijan,World
2018-01-01,61558357420.97,Argentina,World
2018-01-01,256565262375.592,Australia,World
2018-01-01,176991970620.195,Austria,World
2018-01-01,524192922.24,Bahamas,World
2018-01-01,14347737494.17,Bahrain,World
2018-01-01,2383413799.738,Armenia,World
2018-01-01,457709750.5,Barbados,World
2018-01-01,323378438760.036,Belgium,World
2018-01-01,22912424.54,Bermuda,World
2018-01-01,9110355630.63,Bolivia (Plurinational State of),World
2018-01-01,7182096317.77,Bosnia Herzegovina,World
2018-01-01,6590146822.782,Botswana,World
2018-01-01,231889523399,Brazil,World
2018-01-01,243303973.185,Belize,World
2018-01-01,569112008.474,Solomon Isds,World
2018-01-01,6573636942.628,Brunei Darussalam,World
2018-01-01,33787143989.759,Bulgaria,World
2018-01-01,16694858193.422,Myanmar,World
2018-01-01,169071156.81,Burundi,World
2018-01-01,33726141400,Belarus,World
2018-01-01,12700279675.74,Cambodia,World
2018-01-01,3804792058.905,Cameroon,World
2018-01-01,450392396468.983,Canada,World
2018-01-01,75270566.06,Cabo Verde,World
2018-01-01,54264098,Central African Rep.,World
2018-01-01,74837981347.413,Chile,World
2018-01-01,2486439719803,China,World
2018-01-01,41831520220.79,Colombia,World
2018-01-01,46214060.649,Comoros,World
2018-01-01,11155029324.834,Congo,World
2018-01-01,20004284687.096,Dem. Rep. of the Congo,World
2018-01-01,11251781448.19,Costa Rica,World
2018-01-01,17210469290,Croatia,World
2018-01-01,5064927294.839,Cyprus,World
2018-01-01,202521577709,Czechia,World
2018-01-01,950955040.023,Benin,World
2018-01-01,108521449414.015,Denmark,World
2018-01-01,10758011760.829,Dominican Rep.,World
2018-01-01,21651955550.406,Ecuador,World
2018-01-01,5905411210.93,El Salvador,World
2018-01-01,1548554591.716,Ethiopia,World
2018-01-01,17851477710.699,Estonia,World
2018-01-01,1006818442.03,Fiji,World
2018-01-01,75258290459.809,Finland,World
2018-01-01,568535879844.931,France,World
2018-01-01,155313198.568,French Polynesia,World
2018-01-01,3379712837.15,Georgia,World
2018-01-01,11428464.874,Gambia,World
2018-01-01,1155634049.695,State of Palestine,World
2018-01-01,1562418816337.222,Germany,World
2018-01-01,17099588399.661,Ghana,World
2018-01-01,8186253.089,Kiribati,World
2018-01-01,39490521437.854,Greece,World
2018-01-01,640897343.64,Greenland,World
2018-01-01,37746085.587,Grenada,World
2018-01-01,10863483936,Guatemala,World
2018-01-01,1379502041.99,Guyana,World
2018-01-01,4486630182.17,Honduras,World
2018-01-01,569105739731.116,"China, Hong Kong SAR",World
2018-01-01,123957885048,Hungary,World
2018-01-01,5561475841.127,Iceland,World
2018-01-01,180215034094.533,Indonesia,World
2018-01-01,96617521276.16,Iran,World
2018-01-01,166095221558.803,Ireland,World
2018-01-01,61906412000,Israel,World
2018-01-01,549906995682.879,Italy,World
2018-01-01,11820908494.011,Côte d'Ivoire,World
2018-01-01,1960739706.67,Jamaica,World
2018-01-01,738195054863.86,Japan,World
2018-01-01,61109053214.32,Kazakhstan,World
2018-01-01,7750262862.766,Jordan,World
2018-01-01,6050420682.217,Kenya,World
2018-01-01,604807317420,Rep. of Korea,World
2018-01-01,71941444555,Kuwait,World
2018-01-01,1835179371,Kyrgyzstan,World
2018-01-01,5814806369.18,Lao People's Dem. Rep.,World
2018-01-01,2952759932.453,Lebanon,World
2018-01-01,882385316.786,Lesotho,World
2018-01-01,15064999864.072,Latvia,World
2018-01-01,30040892184.511,Libya,World
2018-01-01,33334576736.83,Lithuania,World
2018-01-01,15127093074.638,Luxembourg,World
2018-01-01,1156591871.59,"China, Macao SAR",World
2018-01-01,3125038219.942,Madagascar,World
2018-01-01,837537692.859,Malawi,World
2018-01-01,248711690011.168,Malaysia,World
2018-01-01,181711401.081,Maldives,World
2018-01-01,3633806900.487,Mali,World
2018-01-01,3868514079.301,Malta,World
2018-01-01,2051854542.97,Mauritania,World
2018-01-01,1987672862.854,Mauritius,World
2018-01-01,450683646625,Mexico,World
2018-01-01,335743566738.82,"Other Asia, nes",World
2018-01-01,7011757684.815,Mongolia,World
2018-01-01,2706818216,Rep. of Moldova,World
2018-01-01,465997357.543,Montenegro,World
2018-01-01,5756510.275,Montserrat,World
2018-01-01,29360137412.171,Morocco,World
2018-01-01,5195579533.13,Mozambique,World
2018-01-01,41762284849.977,Oman,World
2018-01-01,7488296000.257,Namibia,World
2018-01-01,781142756.56,Nepal,World
2018-01-01,587893084428.685,Netherlands,World
2018-01-01,69470374.313,Aruba,World
2018-01-01,39838898880.495,New Zealand,World
2018-01-01,5013907569.63,Nicaragua,World
2018-01-01,1564627862.5,Niger,World
2018-01-01,62399742736.876,Nigeria,World
2018-01-01,123040316872.776,Norway,World
2018-01-01,8620908.05,Palau,World
2018-01-01,23630892979.71,Pakistan,World
2018-01-01,11480107616,Panama,World
2018-01-01,9042469470,Paraguay,World
2018-01-01,48015148375.34,Peru,World
2018-01-01,67487668298,Philippines,World
2018-01-01,261815268525,Poland,World
2018-01-01,74135905807.867,Portugal,World
2018-01-01,84904616757.074,Qatar,World
2018-01-01,80077606266.88,Romania,World
2018-01-01,451494828173.17,Russian Federation,World
2018-01-01,1004201169.351,Rwanda,World
2018-01-01,116813983.63,Saint Lucia,World
2018-01-01,43665885.793,Saint Vincent and the Grenadines,World
2018-01-01,12087302.455,Sao Tome and Principe,World
2018-01-01,294535553148.14,Saudi Arabia,World
2018-01-01,3623242949.602,Senegal,World
2018-01-01,19239126973,Serbia,World
2018-01-01,849885247.572,Seychelles,World
2018-01-01,205368284.276,Sierra Leone,World
2018-01-01,322492099897.02,India,World
2018-01-01,411743293747.485,Singapore,World
2018-01-01,93403168103.243,Slovakia,World
2018-01-01,243698698324.33,Viet Nam,World
2018-01-01,36471278939.42,Slovenia,World
2018-01-01,93677434344.6,South Africa,World
2018-01-01,4037267069.95,Zimbabwe,World
2018-01-01,346064315051.142,Spain,World
2018-01-01,3619251504,Sudan,World
2018-01-01,2179950584.89,Suriname,World
2018-01-01,1842438001.3,Eswatini,World
2018-01-01,165966633517.936,Sweden,World
2018-01-01,310523862211.195,Switzerland,World
2018-01-01,1073858043,Tajikistan,World
2018-01-01,252485154115.23,Thailand,World
2018-01-01,1024037778.68,Togo,World
2018-01-01,10530263000.673,Trinidad and Tobago,World
2018-01-01,387964272061.879,United Arab Emirates,World
2018-01-01,15521228910.477,Tunisia,World
2018-01-01,177168756288,Türkiye,World
2018-01-01,3087363576.21,Uganda,World
2018-01-01,47334679853.77,Ukraine,World
2018-01-01,6906336855.13,North Macedonia,World
2018-01-01,29483042036.787,Egypt,World
2018-01-01,490840363553.577,United Kingdom,World
2018-01-01,3669212438.537,United Rep. of Tanzania,World
2018-01-01,1665302936591,USA,World
2018-01-01,3267574544.55,Burkina Faso,World
2018-01-01,7502144832,Uruguay,World
2018-01-01,10919011727.15,Uzbekistan,World
2018-01-01,46101305.352,Samoa,World
2018-01-01,15456132.069,Yemen,World
2018-01-01,9025993762.056,Zambia,World
