freqCode,date,refYear,refMonth,reporterCode,reporterISO,reporterDesc,flowDesc,partnerCode,partnerISO,partnerDesc,primaryValue
M,2021-01-01,2021,1,28,ATG,Antigua and Barbuda,Export,0,W00,World,1216974.831
M,2021-01-01,2021,1,31,AZE,Azerbaijan,Export,0,W00,World,1623974167.85
M,2021-01-01,2021,1,32,ARG,Argentina,Export,0,W00,World,4911999896.89
M,2021-01-01,2021,1,36,AUS,Australia,Export,0,W00,World,24488038917.517
M,2021-01-01,2021,1,51,ARM,Armenia,Export,0,W00,World,162579328.65
M,2021-01-01,2021,1,52,BRB,Barbados,Export,0,W00,World,20908151.5
M,2021-01-01,2021,1,56,BEL,Belgium,Export,0,W00,World,27583652150.235
M,2021-01-01,2021,1,68,BOL,Bolivia (Plurinational State of),Export,0,W00,World,743725111.81
M,2021-01-01,2021,1,70,BIH,Bosnia Herzegovina,Export,0,W00,World,551139199.7
M,2021-01-01,2021,1,72,BWA,Botswana,Export,0,W00,World,800000690.562
M,2021-01-01,2021,1,76,BRA,Brazil,Export,0,W00,World,14947626003
M,2021-01-01,2021,1,84,BLZ,Belize,Export,0,W00,World,14765424.31
M,2021-01-01,2021,1,100,BGR,Bulgaria,Export,0,W00,World,2962426604.416
M,2021-01-01,2021,1,104,MMR,Myanmar,Export,0,W00,World,1762170208.317
M,2021-01-01,2021,1,112,BLR,Belarus,Export,0,W00,World,2434717800
M,2021-01-01,2021,1,124,CAN,Canada,Export,0,W00,World,37160314953.789
M,2021-01-01,2021,1,152,CHL,Chile,Export,0,W00,World,7113957095.365
M,2021-01-01,2021,1,156,CHN,China,Export,0,W00,World,263633235503
M,2021-01-01,2021,1,170,COL,Colombia,Export,0,W00,World,2610936422.43
M,2021-01-01,2021,1,191,HRV,Croatia,Export,0,W00,World,1385000452
M,2021-01-01,2021,1,196,CYP,Cyprus,Export,0,W00,World,191677124.703
M,2021-01-01,2021,1,203,CZE,Czechia,Export,0,W00,World,17719510300
M,2021-01-01,2021,1,204,BEN,Benin,Export,0,W00,World,76938344.075
M,2021-01-01,2021,1,208,DNK,Denmark,Export,0,W00,World,9452571823.685
M,2021-01-01,2021,1,214,DOM,Dominican Rep.,Export,0,W00,World,740229273.467
M,2021-01-01,2021,1,218,ECU,Ecuador,Export,0,W00,World,1814891832.808
M,2021-01-01,2021,1,222,SLV,El Salvador,Export,0,W00,World,515558118.07
M,2021-01-01,2021,1,233,EST,Estonia,Export,0,W00,World,1484840231.916
M,2021-01-01,2021,1,242,FJI,Fiji,Export,0,W00,World,56620031.69
M,2021-01-01,2021,1,246,FIN,Finland,Export,0,W00,World,5383139693.513
M,2021-01-01,2021,1,268,GEO,Georgia,Export,0,W00,World,224500231.81
M,2021-01-01,2021,1,275,PSE,State of Palestine,Export,0,W00,World,99873118.95
M,2021-01-01,2021,1,276,DEU,Germany,Export,0,W00,World,120945626486.123
M,2021-01-01,2021,1,300,GRC,Greece,Export,0,W00,World,3067695770.536
M,2021-01-01,2021,1,308,GRD,Grenada,Export,0,W00,World,2278476.849
M,2021-01-01,2021,1,320,GTM,Guatemala,Export,0,W00,World,1089712648
M,2021-01-01,2021,1,328,GUY,Guyana,Export,0,W00,World,262063384.212
M,2021-01-01,2021,1,344,HKG,"China, Hong Kong SAR",Export,0,W00,World,52168243157.67
M,2021-01-01,2021,1,348,HUN,Hungary,Export,0,W00,World,10872320007
M,2021-01-01,2021,1,352,ISL,Iceland,Export,0,W00,World,382454159.812
M,2021-01-01,2021,1,360,IDN,Indonesia,Export,0,W00,World,15293664942.285
M,2021-01-01,2021,1,372,IRL,Ireland,Export,0,W00,World,16222655660.012
M,2021-01-01,2021,1,376,ISR,Israel,Export,0,W00,World,4705940000
M,2021-01-01,2021,1,380,ITA,Italy,Export,0,W00,World,41282497216.818
M,2021-01-01,2021,1,392,JPN,Japan,Export,0,W00,World,55735015938.369
M,2021-01-01,2021,1,404,KEN,Kenya,Export,0,W00,World,494597695.124
M,2021-01-01,2021,1,414,KWT,Kuwait,Export,0,W00,World,4023308432
M,2021-01-01,2021,1,417,KGZ,Kyrgyzstan,Export,0,W00,World,97572722
M,2021-01-01,2021,1,426,LSO,Lesotho,Export,0,W00,World,59618654.212
M,2021-01-01,2021,1,428,LVA,Latvia,Export,0,W00,World,1285049099.096
M,2021-01-01,2021,1,440,LTU,Lithuania,Export,0,W00,World,2771048009.99
M,2021-01-01,2021,1,442,LUX,Luxembourg,Export,0,W00,World,1183582077.821
M,2021-01-01,2021,1,446,MAC,"China, Macao SAR",Export,0,W00,World,147352128.774
M,2021-01-01,2021,1,450,MDG,Madagascar,Export,0,W00,World,162896671.156
M,2021-01-01,2021,1,454,MWI,Malawi,Export,0,W00,World,63439812.649
M,2021-01-01,2021,1,458,MYS,Malaysia,Export,0,W00,World,22201593814.758
M,2021-01-01,2021,1,480,MUS,Mauritius,Export,0,W00,World,116979760.306
M,2021-01-01,2021,1,484,MEX,Mexico,Export,0,W00,World,32667770741
M,2021-01-01,2021,1,496,MNG,Mongolia,Export,0,W00,World,639684750.76
M,2021-01-01,2021,1,498,MDA,Rep. of Moldova,Export,0,W00,World,198437306
M,2021-01-01,2021,1,499,MNE,Montenegro,Export,0,W00,World,30790183.78
M,2021-01-01,2021,1,504,MAR,Morocco,Export,0,W00,World,2803088636.669
M,2021-01-01,2021,1,528,NLD,Netherlands,Export,0,W00,World,49813220474.078
M,2021-01-01,2021,1,554,NZL,New Zealand,Export,0,W00,World,3016865412.974
