date,value,reporter,partner
2021-01-01,7734905145.339,Albania,World
2021-01-01,1563492399.55,Andorra,World
2021-01-01,11378927920.701,Angola,World
2021-01-01,11695932184.3,Azerbaijan,World
2021-01-01,63183637614.17,Argentina,World
2021-01-01,261586379464.768,Australia,World
2021-01-01,210913061446.332,Austria,World
2021-01-01,14135237381.753,Bahrain,World
2021-01-01,5323905109.255,Armenia,World
2021-01-01,1673255487.5,Barbados,World
2021-01-01,393654602370.278,Belgium,World
2021-01-01,1055206248.22,Bermuda,World
2021-01-01,9618073964.67,Bolivia (Plurinational State of),World
2021-01-01,13028951612.9,Bosnia Herzegovina,World
2021-01-01,8459398927.108,Botswana,World
2021-01-01,234690442199,Brazil,World
2021-01-01,1060471486.62,Belize,World
2021-01-01,8574738526,Brunei Darussalam,World
2021-01-01,46395777342.428,Bulgaria,World
2021-01-01,14322070736.934,Myanmar,World
2021-01-01,981086268.46,Burundi,World
2021-01-01,41810690400,Belarus,World
2021-01-01,28702765266.56,Cambodia,World
2021-01-01,491400949546.148,Canada,World
2021-01-01,1537819617.035,Cayman Isds,World
2021-01-01,21501894170.163,Sri Lanka,World
2021-01-01,92190957181.481,Chile,World
2021-01-01,2684362678517,China,World
2021-01-01,61098589560.05,Colombia,World
2021-01-01,442883577.23,Comoros,World
2021-01-01,2351503115.336,Congo,World
2021-01-01,7657771503.24,Dem. Rep. of the Congo,World
2021-01-01,18428113840.58,Costa Rica,World
2021-01-01,33735256498,Croatia,World
2021-01-01,10231120563.16,Cyprus,World
2021-01-01,212480637162,Czechia,World
2021-01-01,3186198038.112,Benin,World
2021-01-01,121784025735.77,Denmark,World
2021-01-01,24482223982.403,Dominican Rep.,World
2021-01-01,25687187046.213,Ecuador,World
2021-01-01,14617415472.54,El Salvador,World
2021-01-01,15284934933.46,Ethiopia,World
2021-01-01,24203348934.94,Estonia,World
2021-01-01,2115649940.485,Fiji,World
2021-01-01,86263574423.987,Finland,World
2021-01-01,714842314539.932,France,World
2021-01-01,2003095977.252,French Polynesia,World
2021-01-01,10099754995.61,Georgia,World
2021-01-01,708379309.7,Gambia,World
2021-01-01,7829112452.61,State of Palestine,World
2021-01-01,1424674986141.296,Germany,World
2021-01-01,77285028307.198,Greece,World
2021-01-01,446676290.664,Grenada,World
2021-01-01,26593808327,Guatemala,World
2021-01-01,4159750109.955,Guyana,World
2021-01-01,11630877995.9,Honduras,World
2021-01-01,713173047238.355,"China, Hong Kong SAR",World
2021-01-01,139132012128,Hungary,World
2021-01-01,7838072416.615,Iceland,World
2021-01-01,196189955586,Indonesia,World
2021-01-01,122755296375.445,Ireland,World
2021-01-01,92158602000,Israel,World
2021-01-01,568202425245.631,Italy,World
2021-01-01,5975614937.017,Jamaica,World
2021-01-01,772276197103.327,Japan,World
2021-01-01,41415399243.72,Kazakhstan,World
2021-01-01,21542434567.316,Jordan,World
2021-01-01,19594117729.988,Kenya,World
2021-01-01,615013706965,Rep. of Korea,World
2021-01-01,31885707161,Kuwait,World
2021-01-01,5580186463,Kyrgyzstan,World
2021-01-01,5871286079.03,Lao People's Dem. Rep.,World
2021-01-01,13856703728,Lebanon,World
2021-01-01,1667948698.666,Lesotho,World
2021-01-01,23085527945.038,Latvia,World
2021-01-01,44476452628.43,Lithuania,World
2021-01-01,25537148234.7,Luxembourg,World
2021-01-01,19346654858.508,"China, Macao SAR",World
2021-01-01,4408165392.217,Madagascar,World
2021-01-01,3073235408.556,Malawi,World
2021-01-01,238249762706.575,Malaysia,World
2021-01-01,2573550735.388,Maldives,World
2021-01-01,7140682683.534,Malta,World
2021-01-01,3860465109.6,Mauritania,World
2021-01-01,5147263213.227,Mauritius,World
2021-01-01,506565459467,Mexico,World
2021-01-01,382555002402.232,"Other Asia, nes",World
2021-01-01,6844468531.87,Mongolia,World
2021-01-01,7176764126,Rep. of Moldova,World
2021-01-01,2945526101.317,Montenegro,World
2021-01-01,58677639334.211,Morocco,World
2021-01-01,8622696043.56,Mozambique,World
2021-01-01,30994759150.453,Oman,World
2021-01-01,10991763514.665,Namibia,World
2021-01-01,15830035162.61,Nepal,World
2021-01-01,623369106865.866,Netherlands,World
2021-01-01,1169773934.344,Aruba,World
2021-01-01,49221408955.709,New Zealand,World
2021-01-01,9826379471.43,Nicaragua,World
2021-01-01,2126916742.76,Niger,World
2021-01-01,52068286983.145,Nigeria,World
2021-01-01,99252589235.106,Norway,World
2021-01-01,72891644100.617,Pakistan,World
2021-01-01,13312799623,Panama,World
2021-01-01,13559726270,Paraguay,World
2021-01-01,51177707721.21,Peru,World
2021-01-01,124390447217,Philippines,World
2021-01-01,335451322206,Poland,World
2021-01-01,98337110276.911,Portugal,World
2021-01-01,27985403213.758,Qatar,World
2021-01-01,116401944588.41,Romania,World
2021-01-01,293497128020.043,Russian Federation,World
2021-01-01,3736702299.76,Rwanda,World
2021-01-01,372496089.109,Saint Vincent and the Grenadines,World
2021-01-01,166275006.874,Sao Tome and Principe,World
2021-01-01,152695088723.689,Saudi Arabia,World
2021-01-01,9699022129.071,Senegal,World
2021-01-01,33793017446,Serbia,World
2021-01-01,1847879380.274,Seychelles,World
2021-01-01,570402004491.755,India,World
2021-01-01,406318349182.047,Singapore,World
2021-01-01,105141762064.531,Slovakia,World
2021-01-01,330752261349.424,Viet Nam,World
2021-01-01,49067424644.125,Slovenia,World
2021-01-01,93439563371.935,South Africa,World
2021-01-01,7577619026.56,Zimbabwe,World
2021-01-01,426059816727.044,Spain,World
2021-01-01,1381165987.58,Suriname,World
2021-01-01,2122858884.91,Eswatini,World
2021-01-01,187319607120.962,Sweden,World
2021-01-01,323356086951.794,Switzerland,World
2021-01-01,4215537006,Tajikistan,World
2021-01-01,268205273798.65,Thailand,World
2021-01-01,2863327021.238,Togo,World
2021-01-01,5760698895.64,Trinidad and Tobago,World
2021-01-01,347528997702.207,United Arab Emirates,World
2021-01-01,22496204948.891,Tunisia,World
2021-01-01,69962816304.35,Ukraine,World
2021-01-01,11389533968.13,North Macedonia,World
2021-01-01,73781228867.209,Egypt,World
2021-01-01,688236538506.736,United Kingdom,World
2021-01-01,10873264133.534,United Rep. of Tanzania,World
2021-01-01,2932976075226,USA,World
2021-01-01,4709930446.832,Burkina Faso,World
2021-01-01,10320349453.72,Uruguay,World
2021-01-01,23885922503.94,Uzbekistan,World
2021-01-01,368240215.628,Samoa,World
2021-01-01,6435394516.056,Zambia,World
