date,value,reporter,partner
2021-01-01,85302330.124,Andorra,World
2021-01-01,772484072.636,Angola,World
2021-01-01,35106602.709,Antigua and Barbuda,World
2021-01-01,790338931.66,Azerbaijan,World
2021-01-01,3843547388.08,Argentina,World
2021-01-01,18948228631.64,Australia,World
2021-01-01,250890233.81,Armenia,World
2021-01-01,109281867.5,Barbados,World
2021-01-01,27710130403.003,Belgium,World
2021-01-01,609166866.76,Bolivia (Plurinational State of),World
2021-01-01,726717330.49,Bosnia Herzegovina,World
2021-01-01,667617470.185,Botswana,World
2021-01-01,16040106005,Brazil,World
2021-01-01,65808856.85,Belize,World
2021-01-01,3142833622.411,Bulgaria,World
2021-01-01,1983309463.59,Myanmar,World
2021-01-01,2425305000,Belarus,World
2021-01-01,34364364822.746,Canada,World
2021-01-01,5755976298.058,Chile,World
2021-01-01,201979919340,China,World
2021-01-01,3822025203.39,Colombia,World
2021-01-01,2126920721,Croatia,World
2021-01-01,722800165.068,Cyprus,World
2021-01-01,15221978853,Czechia,World
2021-01-01,278472923.577,Benin,World
2021-01-01,8791355941.313,Denmark,World
2021-01-01,1641170728.753,Dominican Rep.,World
2021-01-01,1692122334.899,Ecuador,World
2021-01-01,1066954564.1,El Salvador,World
2021-01-01,1641889848.801,Estonia,World
2021-01-01,148196842,Fiji,World
2021-01-01,5826732413.631,Finland,World
2021-01-01,131734560.493,French Polynesia,World
2021-01-01,561743814.07,Georgia,World
2021-01-01,548892291.4,State of Palestine,World
2021-01-01,102889327345.062,Germany,World
2021-01-01,4874447618.545,Greece,World
2021-01-01,27861569.636,Grenada,World
2021-01-01,1702717409,Guatemala,World
2021-01-01,168093607.643,Guyana,World
2021-01-01,54838757907.313,"China, Hong Kong SAR",World
2021-01-01,9736170232,Hungary,World
2021-01-01,422129156.464,Iceland,World
2021-01-01,13329900890,Indonesia,World
2021-01-01,7838003853.057,Ireland,World
2021-01-01,6595247000,Israel,World
2021-01-01,39426436768.067,Italy,World
2021-01-01,59279445970.534,Japan,World
2021-01-01,1464987107.29,Kenya,World
2021-01-01,2551943123,Kuwait,World
2021-01-01,254853224,Kyrgyzstan,World
2021-01-01,92437536.346,Lesotho,World
2021-01-01,1413521766.841,Latvia,World
2021-01-01,2700158625.96,Lithuania,World
2021-01-01,1780870174.168,Luxembourg,World
2021-01-01,1345064103.027,"China, Macao SAR",World
2021-01-01,354324476.572,Madagascar,World
2021-01-01,215553122.216,Malawi,World
2021-01-01,18087239840.163,Malaysia,World
2021-01-01,416596849.834,Malta,World
2021-01-01,338292722.157,Mauritius,World
2021-01-01,33910706898,Mexico,World
2021-01-01,458862365.46,Mongolia,World
2021-01-01,399369069,Rep. of Moldova,World
2021-01-01,125121223.136,Montenegro,World
2021-01-01,4099751516.156,Morocco,World
2021-01-01,713704042.319,Namibia,World
2021-01-01,43870890188.843,Netherlands,World
2021-01-01,3464338267.315,New Zealand,World
2021-01-01,592265606.08,Nicaragua,World
2021-01-01,3452009744.217,Nigeria,World
2021-01-01,6531837907.801,Norway,World
2021-01-01,4800003161.929,Pakistan,World
2021-01-01,671928092,Panama,World
2021-01-01,823441381,Paraguay,World
2021-01-01,8863863427,Philippines,World
2021-01-01,23394600550,Poland,World
2021-01-01,6752677521.291,Portugal,World
2021-01-01,2131683544.48,Qatar,World
2021-01-01,8022613669.25,Romania,World
2021-01-01,16833975278.415,Russian Federation,World
2021-01-01,215915283.29,Rwanda,World
2021-01-01,22124929.126,Saint Vincent and the Grenadines,World
2021-01-01,8694338.327,Sao Tome and Principe,World
2021-01-01,1969149810,Serbia,World
2021-01-01,116261876.94,Seychelles,World
2021-01-01,41949744802.586,India,World
2021-01-01,29445732370.194,Singapore,World
2021-01-01,7765828861.37,Slovakia,World
2021-01-01,26459403719,Viet Nam,World
2021-01-01,3114366468.81,Slovenia,World
2021-01-01,6456391574.183,South Africa,World
2021-01-01,28988255672.408,Spain,World
2021-01-01,13270580446.332,Sweden,World
2021-01-01,22322728468.719,Switzerland,World
2021-01-01,202814924.31,Togo,World
2021-01-01,404476622.128,Trinidad and Tobago,World
2021-01-01,1535247972.461,Tunisia,World
2021-01-01,18065286450,Türkiye,World
2021-01-01,3901940172.69,Ukraine,World
2021-01-01,758255794.45,North Macedonia,World
2021-01-01,5691367231.955,Egypt,World
2021-01-01,47846878132.064,United Kingdom,World
2021-01-01,709873701,United Rep. of Tanzania,World
2021-01-01,211301088285,USA,World
2021-01-01,272657234.018,Burkina Faso,World
2021-01-01,634146697.65,Uruguay,World
2021-01-01,1552322175.65,Uzbekistan,World
2021-01-01,28308230.282,Samoa,World
2021-01-01,391017862.277,Zambia,World
2021-02-01,93792870.927,Andorra,World
2021-02-01,719612606.5,Angola,World
2021-02-01,40851838.213,Antigua and Barbuda,World
2021-02-01,822469207.31,Azerbaijan,World
2021-02-01,3712676594.16,Argentina,World
2021-02-01,19630930464.584,Australia,World
2021-02-01,319284229.785,Armenia,World
2021-02-01,101677797.5,Barbados,World
2021-02-01,28202091519.815,Belgium,World
2021-02-01,677248435.54,Bolivia (Plurinational State of),World
2021-02-01,903897296.36,Bosnia Herzegovina,World
2021-02-01,593249615.022,Botswana,World
2021-02-01,15524210890,Brazil,World
2021-02-01,69899430.34,Belize,World
2021-02-01,3361090203.685,Bulgaria,World
2021-02-01,774112884.977,Myanmar,World
2021-02-01,2837172000,Belarus,World
2021-02-01,34219906967.765,Canada,World
2021-02-01,6223788054.427,Chile,World
2021-02-01,169242693446,China,World
2021-02-01,3904060336.44,Colombia,World
2021-02-01,2543201137,Croatia,World
2021-02-01,904935472.781,Cyprus,World
2021-02-01,15438896561,Czechia,World
2021-02-01,229440772.081,Benin,World
2021-02-01,9467141292.49,Denmark,World
2021-02-01,1799620119.942,Dominican Rep.,World
2021-02-01,1634625592.575,Ecuador,World
2021-02-01,945598038.25,El Salvador,World
2021-02-01,1633132248.289,Estonia,World
2021-02-01,140274858.496,Fiji,World
2021-02-01,6381947259.835,Finland,World
2021-02-01,140088155.558,French Polynesia,World
2021-02-01,648802376.39,Georgia,World
2021-02-01,565926488.51,State of Palestine,World
2021-02-01,108805633250.199,Germany,World
2021-02-01,4911498086.477,Greece,World
2021-02-01,28290978.93,Grenada,World
2021-02-01,1768052145,Guatemala,World
2021-02-01,159647990.856,Guyana,World
2021-02-01,42759238165.048,"China, Hong Kong SAR",World
2021-02-01,10791446728,Hungary,World
2021-02-01,507261801.294,Iceland,World
2021-02-01,13264973774,Indonesia,World
2021-02-01,8039464160.698,Ireland,World
2021-02-01,6651945000,Israel,World
2021-02-01,41293641906.398,Italy,World
2021-02-01,55634302620.605,Japan,World
2021-02-01,1454761297.762,Kenya,World
2021-02-01,2426498910,Kuwait,World
2021-02-01,311651441,Kyrgyzstan,World
