date,reporter,total_exports,gdp,partner,partner_exports,beta
2014-01-01,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-02,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-03,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-04,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-05,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-06,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-07,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-08,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-09,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-10,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-11,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-12,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-13,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-14,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-15,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-16,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-17,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-18,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-19,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-20,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-21,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-22,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-23,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-24,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-25,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-26,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-27,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
2014-01-28,Austria,460474340.32258064,1189744127.1129944,Russia,11853447.301612904,0.009963022326805853
