,Date,Value (Millions USD),Country,Partner
0,2022-01,13.871552,ZM,ZW
1,2022-02,37.509948,ZM,ZW
2,2022-03,40.700429,ZM,ZW
3,2022-04,18.61204,ZM,ZW
4,2022-05,22.99426,ZM,ZW
5,2022-06,65.032748,ZM,ZW
6,2022-07,14.373662,ZM,ZW
7,2022-08,13.11541,ZM,ZW
8,2022-09,12.935915,ZM,ZW
9,2022-10,14.544753,ZM,ZW
0,2022-01,4919.904689,IT,FR
1,2022-02,5430.155069,IT,FR
2,2022-03,6463.399315,IT,FR
3,2022-04,5523.054039,IT,FR
4,2022-05,6295.09425,IT,FR
5,2022-06,5874.111647,IT,FR
6,2022-07,5601.685039,IT,FR
7,2022-08,3814.040038,IT,FR
8,2022-09,5643.294179,IT,FR
9,2022-10,5327.531123,IT,FR
