,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_@TIME_PERIOD,Obs_@OBS_VALUE
0,A,FR,TXG_FOB_USD,LK,6,P1Y,2020,70.595582,2021,102.939956,2022,82.482185,,
1,A,FR,TXG_FOB_USD,US,6,P1Y,2020,37401.932873,2021,41515.37238,2022,49104.682102,,
2,A,FR,TXG_FOB_USD,ER,6,P1Y,2020,3.178618,2021,2.504185,2022,5.094159,,
3,A,FR,TXG_FOB_USD,MU,6,P1Y,2020,376.156841,2021,386.869602,2022,441.375584,,
4,A,FR,TXG_FOB_USD,TM,6,P1Y,2020,85.074982,2021,37.690697,2022,36.129334,,
5,A,FR,TXG_FOB_USD,SL,6,P1Y,2020,21.285482,2021,13.730013,2022,14.421733,,
6,A,FR,TXG_FOB_USD,W00,6,P1Y,2020,488636.774134,2021,585020.854161,2022,618152.685111,,
7,A,FR,TXG_FOB_USD,CH,6,P1Y,2020,16460.761715,2021,20144.923674,2022,21666.704853,,
8,A,FR,TXG_FOB_USD,SZ,6,P1Y,2020,2.236441,2021,4.341199,2022,2.678222,,
9,A,FR,TXG_FOB_USD,GB,6,P1Y,2020,31261.362442,2021,33610.715356,2022,35204.708597,,
10,A,FR,TXG_FOB_USD,PA,6,P1Y,2020,422.686385,2021,594.126609,2022,367.865581,,
11,A,FR,TXG_FOB_USD,PE,6,P1Y,2020,208.454462,2021,246.543125,2022,367.831333,,
12,A,FR,TXG_FOB_USD,DM,6,P1Y,2020,2.611093,2021,1.901231,2022,3.209918,,
13,A,FR,TXG_FOB_USD,1C_080,6,P1Y,2020,26121.348947,2021,28636.004326,2022,23602.183958,,
14,A,FR,TXG_FOB_USD,KE,6,P1Y,2020,171.397399,2021,185.714928,2022,179.663133,,
15,A,FR,TXG_FOB_USD,AS,6,P1Y,2020,0.317276,2021,0.006058,2022,0.299356,,
16,A,FR,TXG_FOB_USD,SV,6,P1Y,2020,41.61764,2021,41.552079,2022,36.736304,,
