,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE,Obs_11_@TIME_PERIOD,Obs_11_@OBS_VALUE,Obs_12_@TIME_PERIOD,Obs_12_@OBS_VALUE,Obs_13_@TIME_PERIOD,Obs_13_@OBS_VALUE,Obs_14_@TIME_PERIOD,Obs_14_@OBS_VALUE,Obs_15_@TIME_PERIOD,Obs_15_@OBS_VALUE,Obs_16_@TIME_PERIOD,Obs_16_@OBS_VALUE,Obs_17_@TIME_PERIOD,Obs_17_@OBS_VALUE,Obs_18_@TIME_PERIOD,Obs_18_@OBS_VALUE,Obs_19_@TIME_PERIOD,Obs_19_@OBS_VALUE,Obs_20_@TIME_PERIOD,Obs_20_@OBS_VALUE,Obs_21_@TIME_PERIOD,Obs_21_@OBS_VALUE,Obs_22_@TIME_PERIOD,Obs_22_@OBS_VALUE,Obs_23_@TIME_PERIOD,Obs_23_@OBS_VALUE,Obs_@TIME_PERIOD,Obs_@OBS_VALUE
0,M,FR,TXG_FOB_USD,SY,6,P1M,2021-01,2.89867,2021-02,3.251277,2021-03,1.798819,2021-04,0.993263,2021-05,2.84384,2021-06,0.809233,2021-07,1.497883,2021-08,2.441101,2021-09,1.484091,2021-10,0.997257,2021-11,2.507599,2021-12,5.44993,2022-01,0.946427,2022-02,1.269215,2022-03,2.79,2022-04,2.316856,2022-05,0.78311,2022-06,1.679899,2022-07,1.561316,2022-08,2.322705,2022-09,2.773704,2022-10,1.975507,2022-11,3.703912,2022-12,2.729389,,
1,M,FR,TXG_FOB_USD,CN,6,P1M,2021-01,1852.730159,2021-02,2046.245098,2021-03,2118.277829,2021-04,3041.865731,2021-05,2405.176147,2021-06,2780.164893,2021-07,2306.136313,2021-08,2388.674272,2021-09,2250.051797,2021-10,2297.75797,2021-11,2312.055863,2021-12,2636.577922,2022-01,1894.677819,2022-02,2012.323625,2022-03,1971.461278,2022-04,1637.15908,2022-05,1734.950499,2022-06,1885.151624,2022-07,2019.316982,2022-08,1955.277366,2022-09,2198.366833,2022-10,2027.695168,2022-11,2221.287101,2022-12,3344.925611,,
2,M,FR,TXG_FOB_USD,BI,6,P1M,2021-01,0.767455,2021-02,0.621474,2021-03,0.805134,2021-04,0.710798,2021-05,0.445127,2021-06,1.752826,2021-07,0.562905,2021-08,1.338571,2021-09,0.540773,2021-10,0.695178,2021-11,0.589008,2021-12,1.330221,2022-01,0.741621,2022-02,0.407847,2022-03,0.974785,2022-04,0.632446,2022-05,0.613582,2022-06,0.757952,2022-07,0.989908,2022-08,1.173116,2022-09,0.668629,2022-10,0.827654,2022-11,1.198944,2022-12,0.726088,,
3,M,FR,TXG_FOB_USD,MN,6,P1M,2021-01,2.329043,2021-02,2.242897,2021-03,2.591995,2021-04,2.852499,2021-05,2.497181,2021-06,3.423878,2021-07,3.143955,2021-08,3.924385,2021-09,2.553643,2021-10,2.314562,2021-11,6.857314,2021-12,4.349949,2022-01,1.644807,2022-02,2.57443,2022-03,2.968563,2022-04,3.920286,2022-05,2.909437,2022-06,2.362452,2022-07,2.833905,2022-08,3.939782,2022-09,2.836189,2022-10,1.832195,2022-11,3.816021,2022-12,3.31495,,
4,M,FR,TXG_FOB_USD,SA,6,P1M,2021-01,284.060332,2021-02,467.12875,2021-03,368.405582,2021-04,313.068829,2021-05,428.856725,2021-06,321.381204,2021-07,415.150585,2021-08,169.794172,2021-09,306.261179,2021-10,196.339512,2021-11,326.475612,2021-12,399.738955,2022-01,271.331862,2022-02,327.764802,2022-03,379.344645,2022-04,286.479276,2022-05,398.596673,2022-06,351.916881,2022-07,324.188711,2022-08,327.342105,2022-09,250.913017,2022-10,320.388187,2022-11,514.060146,2022-12,306.287863,,
5,M,FR,TXG_FOB_USD,MU,6,P1M,2021-01,23.845472,2021-02,38.495038,2021-03,26.107144,2021-04,25.936008,2021-05,22.257909,2021-06,33.96077,2021-07,30.753692,2021-08,35.684817,2021-09,34.278618,2021-10,43.126079,2021-11,40.445977,2021-12,31.978078,2022-01,27.497659,2022-02,32.267105,2022-03,40.933778,2022-04,36.348919,2022-05,32.084922,2022-06,36.42004,2022-07,31.294765,2022-08,41.01366,2022-09,38.259053,2022-10,38.68336,2022-11,41.791283,2022-12,44.78104,,
6,M,FR,TXG_FOB_USD,CO,6,P1M,2021-01,33.182029,2021-02,48.545451,2021-03,52.227495,2021-04,41.441446,2021-05,45.419263,2021-06,44.52276,2021-07,58.641565,2021-08,51.100333,2021-09,131.018497,2021-10,52.446485,2021-11,55.80792,2021-12,121.754299,2022-01,39.704639,2022-02,120.133738,2022-03,125.835977,2022-04,214.138509,2022-05,45.602144,2022-06,52.424572,2022-07,129.080062,2022-08,65.541499,2022-09,47.939777,2022-10,64.912698,2022-11,57.154081,2022-12,219.821594,,
7,M,FR,TXG_FOB_USD,KW,6,P1M,2021-01,130.626535,2021-02,37.054601,2021-03,167.198632,2021-04,129.007277,2021-05,111.563901,2021-06,120.064835,2021-07,101.799821,2021-08,100.248622,2021-09,170.48466,2021-10,107.541467,2021-11,76.859114,2021-12,125.758809,2022-01,34.699008,2022-02,35.667743,2022-03,47.622278,2022-04,39.729012,2022-05,39.9835,2022-06,41.831217,2022-07,35.782188,2022-08,64.690878,2022-09,398.224697,2022-10,126.123215,2022-11,59.136921,2022-12,38.27591,,
8,M,FR,TXG_FOB_USD,DM,6,P1M,2021-01,0.154803,2021-02,0.170255,2021-03,0.241574,2021-04,0.086932,2021-05,0.198915,2021-06,0.165972,2021-07,0.124131,2021-08,0.068301,2021-09,0.163474,2021-10,0.245141,2021-11,0.181003,2021-12,0.10073,2022-01,0.135429,2022-02,0.603746,2022-03,0.117463,2022-04,0.114346,2022-05,0.125425,2022-06,0.157465,2022-07,0.115918,2022-08,1.072626,2022-09,0.217522,2022-10,0.2338,2022-11,0.143334,2022-12,0.172844,,
9,M,FR,TXG_FOB_USD,GB,6,P1M,2021-01,2221.296786,2021-02,2550.700739,2021-03,2910.371781,2021-04,2646.683468,2021-05,2559.610509,2021-06,3051.332201,2021-07,2722.937971,2021-08,2594.406265,2021-09,2962.321033,2021-10,3002.248243,2021-11,3095.923567,2021-12,3292.882793,2022-01,2542.338324,2022-02,3054.521438,2022-03,3381.033013,2022-04,3052.426495,2022-05,2908.682361,2022-06,3168.786921,2022-07,2552.258203,2022-08,2597.345005,2022-09,2996.730818,2022-10,2998.815295,2022-11,3107.076165,2022-12,2844.694559,,
