,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE
0,A,US,TXG_FOB_USD,NP,6,P1Y,2020,93.570016,2021,196.663954
1,A,US,TXG_FOB_USD,AT,6,P1Y,2020,3431.921691,2021,3935.28009
2,A,US,TXG_FOB_USD,IL,6,P1Y,2020,10188.739391,2021,12861.941181
3,A,US,TXG_FOB_USD,IE,6,P1Y,2020,9557.972789,2021,13784.559796
4,A,US,TXG_FOB_USD,SE,6,P1Y,2020,4689.950861,2021,5262.677288
5,A,US,TXG_FOB_USD,BT,6,P1Y,2020,2.857352,2021,5.921086
6,A,US,TXG_FOB_USD,PS,6,P1Y,2020,2.106837,2021,2.265048
7,A,US,TXG_FOB_USD,TJ,6,P1Y,2020,7.564521,2021,15.196661
8,A,US,TXG_FOB_USD,AO,6,P1Y,2020,470.520734,2021,445.46904
9,A,US,TXG_FOB_USD,CS,6,P1Y,,,,
10,A,US,TXG_FOB_USD,LA,6,P1Y,2020,24.760963,2021,33.494012
11,A,US,TXG_FOB_USD,A109,6,P1Y,2020,1302.474872,2021,1819.346019
12,A,US,TXG_FOB_USD,RS,6,P1Y,2020,141.752108,2021,181.2576
13,A,US,TXG_FOB_USD,LK,6,P1Y,2020,354.152065,2021,389.167478
14,A,US,TXG_FOB_USD,1C_459,6,P1Y,,,,
15,A,US,TXG_FOB_USD,MZ,6,P1Y,2020,129.010939,2021,191.244645
16,A,US,TXG_FOB_USD,CSH,6,P1Y,,,,
17,A,US,TXG_FOB_USD,HK,6,P1Y,2020,23986.487694,2021,29894.021653
18,A,US,TXG_FOB_USD,CL,6,P1Y,2020,12766.645625,2021,17338.199058
19,A,US,TXG_FOB_USD,SV,6,P1Y,2020,2634.543812,2021,4115.606451
20,A,US,TXG_FOB_USD,1C_440,6,P1Y,2020,49288.358968,2021,53696.1342
21,A,US,TXG_FOB_USD,AF,6,P1Y,2020,670.888208,2021,235.672751
22,A,US,TXG_FOB_USD,XR43,6,P1Y,2020,637671.140002,2021,809523.403343
23,A,US,TXG_FOB_USD,JO,6,P1Y,2020,1325.367197,2021,1203.19049
24,A,US,TXG_FOB_USD,MO,6,P1Y,2020,183.004729,2021,219.557393
25,A,US,TXG_FOB_USD,BS,6,P1Y,2020,2868.351284,2021,2898.952913
26,A,US,TXG_FOB_USD,TT,6,P1Y,2020,2370.080802,2021,2675.68647
27,A,US,TXG_FOB_USD,GA,6,P1Y,2020,91.495636,2021,129.28783
28,A,US,TXG_FOB_USD,GH,6,P1Y,2020,831.948799,2021,957.437488
29,A,US,TXG_FOB_USD,ZM,6,P1Y,2020,71.820752,2021,94.125998
30,A,US,TXG_FOB_USD,AE,6,P1Y,2020,14758.659096,2021,17064.13839
31,A,US,TXG_FOB_USD,MY,6,P1Y,2020,12498.483739,2021,15174.239228
32,A,US,TXG_FOB_USD,LT,6,P1Y,2020,1018.752029,2021,1237.28445
33,A,US,TXG_FOB_USD,NI,6,P1Y,2020,1429.602196,2021,2152.942124
34,A,US,TXG_FOB_USD,MT,6,P1Y,2020,157.277277,2021,130.091702
