,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE,Obs_11_@TIME_PERIOD,Obs_11_@OBS_VALUE,Obs_12_@TIME_PERIOD,Obs_12_@OBS_VALUE,Obs_13_@TIME_PERIOD,Obs_13_@OBS_VALUE,Obs_14_@TIME_PERIOD,Obs_14_@OBS_VALUE,Obs_15_@TIME_PERIOD,Obs_15_@OBS_VALUE,Obs_16_@TIME_PERIOD,Obs_16_@OBS_VALUE,Obs_17_@TIME_PERIOD,Obs_17_@OBS_VALUE,Obs_18_@TIME_PERIOD,Obs_18_@OBS_VALUE,Obs_19_@TIME_PERIOD,Obs_19_@OBS_VALUE,Obs_20_@TIME_PERIOD,Obs_20_@OBS_VALUE,Obs_21_@TIME_PERIOD,Obs_21_@OBS_VALUE,Obs_22_@TIME_PERIOD,Obs_22_@OBS_VALUE,Obs_23_@TIME_PERIOD,Obs_23_@OBS_VALUE,Obs_24_@TIME_PERIOD,Obs_24_@OBS_VALUE,Obs_25_@TIME_PERIOD,Obs_25_@OBS_VALUE,Obs_26_@TIME_PERIOD,Obs_26_@OBS_VALUE,Obs_27_@TIME_PERIOD,Obs_27_@OBS_VALUE,Obs_28_@TIME_PERIOD,Obs_28_@OBS_VALUE,Obs_29_@TIME_PERIOD,Obs_29_@OBS_VALUE,Obs_30_@TIME_PERIOD,Obs_30_@OBS_VALUE,Obs_31_@TIME_PERIOD,Obs_31_@OBS_VALUE,Obs_32_@TIME_PERIOD,Obs_32_@OBS_VALUE,Obs_33_@TIME_PERIOD,Obs_33_@OBS_VALUE,Obs_34_@TIME_PERIOD,Obs_34_@OBS_VALUE
0,M,US,TXG_FOB_USD,CH,6,P1M,2020-01,1396.106011,2020-02,1287.279906,2020-03,1272.75528,2020-04,1275.52463,2020-05,992.779554,2020-06,1043.907829,2020-07,1163.495226,2020-08,2335.050439,2020-09,1606.123112,2020-10,1701.891195,2020-11,2002.470914,2020-12,2007.225659,2021-01,1363.01419,2021-02,1543.92531,2021-03,2882.637713,2021-04,2735.245709,2021-05,1656.904748,2021-06,1283.599725,2021-07,1464.055558,2021-08,2799.473446,2021-09,1756.060405,2021-10,2639.978517,2021-11,1304.155172,2021-12,2254.357965,2022-01,1954.531472,2022-02,1888.507522,2022-03,1799.847827,2022-04,2088.963123,2022-05,2556.277555,2022-06,5080.731235,2022-07,5263.07604,2022-08,3575.736014,2022-09,3100.238874,2022-10,4948.681556,2022-11,3066.25925
1,M,US,TXG_FOB_USD,PL,6,P1M,2020-01,456.452898,2020-02,405.987554,2020-03,430.413909,2020-04,369.383254,2020-05,424.585853,2020-06,498.731577,2020-07,335.816763,2020-08,425.68633,2020-09,375.948119,2020-10,423.292526,2020-11,363.529447,2020-12,455.269849,2021-01,402.979576,2021-02,429.918074,2021-03,479.190286,2021-04,450.179893,2021-05,532.645981,2021-06,502.900713,2021-07,489.097241,2021-08,440.603551,2021-09,406.681158,2021-10,547.581586,2021-11,606.402243,2021-12,554.951711,2022-01,574.140069,2022-02,704.213592,2022-03,687.218558,2022-04,955.705304,2022-05,1022.382291,2022-06,877.131826,2022-07,1140.646877,2022-08,1020.237267,2022-09,1128.756741,2022-10,1225.737252,2022-11,959.689877
2,M,US,TXG_FOB_USD,AE,6,P1M,2020-01,1483.514222,2020-02,1726.039744,2020-03,1446.924149,2020-04,906.019907,2020-05,871.416882,2020-06,1015.860045,2020-07,1024.342569,2020-08,1023.224261,2020-09,1064.5114,2020-10,1460.74071,2020-11,1203.270168,2020-12,1532.795039,2021-01,1146.492078,2021-02,1358.463691,2021-03,1671.604676,2021-04,1237.301103,2021-05,1288.680461,2021-06,1282.704729,2021-07,1190.923716,2021-08,1191.664579,2021-09,1545.666029,2021-10,1500.932076,2021-11,1784.141959,2021-12,1865.563293,2022-01,1552.028454,2022-02,1475.959307,2022-03,1516.587163,2022-04,1524.150822,2022-05,1898.036116,2022-06,1853.881884,2022-07,1453.737053,2022-08,1825.086577,2022-09,1895.769086,2022-10,1797.656751,2022-11,1897.810916
3,M,US,TXG_FOB_USD,AU,6,P1M,2020-01,1722.270943,2020-02,2181.102687,2020-03,2161.519015,2020-04,1598.241304,2020-05,1756.876493,2020-06,1737.74644,2020-07,2119.688387,2020-08,2060.504502,2020-09,2066.000024,2020-10,2148.573423,2020-11,1972.222315,2020-12,1964.25127,2021-01,1735.459021,2021-02,1706.948791,2021-03,2584.995996,2021-04,2225.174836,2021-05,2410.417087,2021-06,2215.419642,2021-07,2234.580382,2021-08,2354.633353,2021-09,2133.013043,2021-10,2514.432176,2021-11,2164.735307,2021-12,2174.114069,2022-01,1940.922653,2022-02,2137.69107,2022-03,2453.219691,2022-04,2521.855664,2022-05,2487.035721,2022-06,2888.318847,2022-07,2590.056646,2022-08,2371.538434,2022-09,3044.273195,2022-10,2441.098921,2022-11,2423.124789
4,M,US,TXG_FOB_USD,BJ,6,P1M,2020-01,18.332982,2020-02,16.997264,2020-03,18.853558,2020-04,11.340781,2020-05,10.538707,2020-06,13.317139,2020-07,15.3084,2020-08,15.059292,2020-09,16.214409,2020-10,20.882936,2020-11,18.914862,2020-12,21.793224,2021-01,21.147753,2021-02,24.782869,2021-03,30.631031,2021-04,22.242437,2021-05,25.784686,2021-06,31.029125,2021-07,23.090762,2021-08,21.040651,2021-09,21.455299,2021-10,21.373076,2021-11,25.408606,2021-12,24.315294,2022-01,20.24629,2022-02,23.986939,2022-03,25.913414,2022-04,39.340947,2022-05,22.371564,2022-06,26.826895,2022-07,29.843174,2022-08,22.564597,2022-09,23.578849,2022-10,19.93116,2022-11,16.715719
5,M,US,TXG_FOB_USD,CG,6,P1M,2020-01,3.824994,2020-02,6.166762,2020-03,13.463099,2020-04,10.34456,2020-05,7.12547,2020-06,6.61582,2020-07,6.388745,2020-08,6.613073,2020-09,6.766035,2020-10,10.491152,2020-11,11.096994,2020-12,13.558992,2021-01,5.211056,2021-02,7.063377,2021-03,5.051176,2021-04,5.98922,2021-05,9.295943,2021-06,8.228529,2021-07,13.622903,2021-08,11.424795,2021-09,8.328684,2021-10,11.497728,2021-11,14.644926,2021-12,13.243398,2022-01,10.794722,2022-02,10.9014,2022-03,10.92708,2022-04,15.553282,2022-05,17.778954,2022-06,10.936947,2022-07,16.71827,2022-08,14.418644,2022-09,18.739391,2022-10,17.587189,2022-11,23.270239
6,M,US,TXG_FOB_USD,LK,6,P1M,2020-01,28.193227,2020-02,54.813654,2020-03,32.695155,2020-04,16.169279,2020-05,20.647688,2020-06,20.672931,2020-07,25.092649,2020-08,46.50738,2020-09,23.99932,2020-10,29.294163,2020-11,31.320876,2020-12,24.745743,2021-01,46.771216,2021-02,31.25408,2021-03,29.009077,2021-04,32.704779,2021-05,36.245745,2021-06,33.232947,2021-07,29.675312,2021-08,24.590833,2021-09,28.030745,2021-10,31.300403,2021-11,34.460411,2021-12,31.89193,2022-01,23.393195,2022-02,27.312016,2022-03,33.716076,2022-04,27.268703,2022-05,29.216569,2022-06,42.841516,2022-07,16.409008,2022-08,19.777405,2022-09,27.064608,2022-10,32.85617,2022-11,26.235003
7,M,US,TXG_FOB_USD,SL,6,P1M,2020-01,3.461499,2020-02,5.922787,2020-03,7.262323,2020-04,5.210508,2020-05,4.370739,2020-06,3.726811,2020-07,4.333882,2020-08,6.020262,2020-09,7.79621,2020-10,9.030753,2020-11,9.100086,2020-12,7.592462,2021-01,5.39228,2021-02,6.068117,2021-03,6.636033,2021-04,9.680597,2021-05,8.825486,2021-06,7.737742,2021-07,7.578325,2021-08,9.968027,2021-09,8.361093,2021-10,13.254333,2021-11,19.726574,2021-12,11.43611,2022-01,5.306749,2022-02,6.150013,2022-03,11.189144,2022-04,10.781402,2022-05,7.817504,2022-06,9.900131,2022-07,8.282109,2022-08,8.839948,2022-09,6.2482,2022-10,13.581359,2022-11,11.007961
8,M,US,TXG_FOB_USD,BY,6,P1M,2020-01,3.953131,2020-02,7.940779,2020-03,13.094791,2020-04,6.296245,2020-05,25.563502,2020-06,7.167432,2020-07,6.841778,2020-08,6.9503,2020-09,8.685464,2020-10,8.040506,2020-11,6.936188,2020-12,10.813669,2021-01,9.590849,2021-02,10.497756,2021-03,11.721528,2021-04,70.197592,2021-05,17.672851,2021-06,15.765551,2021-07,12.917976,2021-08,12.407065,2021-09,16.332766,2021-10,14.519376,2021-11,13.767011,2021-12,12.625143,2022-01,15.076789,2022-02,11.427352,2022-03,3.426823,2022-04,1.396946,2022-05,0.265231,2022-06,0.531532,2022-07,2.466232,2022-08,0.199058,2022-09,0.065818,2022-10,0.786439,2022-11,2.426895
9,M,US,TXG_FOB_USD,FR,6,P1M,2020-01,3494.204301,2020-02,3374.68454,2020-03,3454.475025,2020-04,1545.443856,2020-05,1541.263824,2020-06,1860.344155,2020-07,2107.001961,2020-08,1823.763015,2020-09,2373.62494,2020-10,2415.35787,2020-11,2004.670508,2020-12,2290.57606,2021-01,1964.476799,2021-02,2061.68535,2021-03,2513.339932,2021-04,2458.258389,2021-05,2534.847668,2021-06,2708.395313,2021-07,2250.015212,2021-08,2561.065936,2021-09,2668.534674,2021-10,3108.144624,2021-11,2624.646968,2021-12,3145.195631,2022-01,3361.294894,2022-02,3287.039607,2022-03,3932.523068,2022-04,3736.053093,2022-05,4204.842585,2022-06,4300.579844,2022-07,3711.914021,2022-08,3731.66326,2022-09,4532.812438,2022-10,4162.371752,2022-11,4065.244054
