date,value,reporter,partner
2020-01-01,45806594369,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-02-01,43386072693,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-03-01,44913409054,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-04-01,39786167675,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-05-01,33620189602,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-06-01,37067141043,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-07-01,38369877924,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-08-01,39433333157,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-09-01,44771754106,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-10-01,45197120662,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-11-01,44833186515,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-12-01,50433391921,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-01-01,40225817281,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-02-01,44805781154,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-03-01,53076182739,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-04-01,55802149092,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-05-01,53695598621,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-06-01,61256348289,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-07-01,62448030447,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-08-01,62498292781,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-09-01,63468850307,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-10-01,68141702148,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-11-01,72444968550,Community of Independent States (CIS),"All Countries, excluding the IO"
2021-12-01,79024941616,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-01-01,82691640604,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-02-01,85221917057,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-03-01,82007505432,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-04-01,77505653900,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-05-01,69729891452,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-06-01,69718825995,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-07-01,63662562769,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-08-01,64622433417,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-09-01,62096671424,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-10-01,59097050183,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-11-01,53813094211,Community of Independent States (CIS),"All Countries, excluding the IO"
2022-12-01,51940315174,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-01-01,48813942756,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-02-01,43434713976,Community of Independent States (CIS),"All Countries, excluding the IO"
2023-03-01,43099048984,Community of Independent States (CIS),"All Countries, excluding the IO"
2020-01-01,9195564,Burundi,"All Countries, excluding the IO"
2020-02-01,8253869,Burundi,"All Countries, excluding the IO"
2020-03-01,8894065,Burundi,"All Countries, excluding the IO"
2020-04-01,5192842,Burundi,"All Countries, excluding the IO"
2020-05-01,4235404,Burundi,"All Countries, excluding the IO"
2020-06-01,6403944,Burundi,"All Countries, excluding the IO"
2020-07-01,53692103,Burundi,"All Countries, excluding the IO"
2020-08-01,7923483,Burundi,"All Countries, excluding the IO"
2020-09-01,12142370,Burundi,"All Countries, excluding the IO"
2020-10-01,12476357,Burundi,"All Countries, excluding the IO"
2020-11-01,12228287,Burundi,"All Countries, excluding the IO"
2020-12-01,12895589,Burundi,"All Countries, excluding the IO"
2021-01-01,7638404,Burundi,"All Countries, excluding the IO"
2021-02-01,12081734,Burundi,"All Countries, excluding the IO"
2021-03-01,10180350,Burundi,"All Countries, excluding the IO"
2021-04-01,7613172,Burundi,"All Countries, excluding the IO"
2021-05-01,8006517.000000001,Burundi,"All Countries, excluding the IO"
2021-06-01,7567147,Burundi,"All Countries, excluding the IO"
2021-07-01,6046664,Burundi,"All Countries, excluding the IO"
2021-08-01,10212352,Burundi,"All Countries, excluding the IO"
2021-09-01,7676841,Burundi,"All Countries, excluding the IO"
2021-10-01,12920927,Burundi,"All Countries, excluding the IO"
2021-11-01,49679738,Burundi,"All Countries, excluding the IO"
2021-12-01,10878859,Burundi,"All Countries, excluding the IO"
2022-01-01,7818889,Burundi,"All Countries, excluding the IO"
2022-02-01,32783099,Burundi,"All Countries, excluding the IO"
2022-03-01,10588223,Burundi,"All Countries, excluding the IO"
2022-04-01,9061818,Burundi,"All Countries, excluding the IO"
2022-05-01,7884030,Burundi,"All Countries, excluding the IO"
2022-06-01,7706759,Burundi,"All Countries, excluding the IO"
2022-07-01,6598689,Burundi,"All Countries, excluding the IO"
2022-08-01,10779901,Burundi,"All Countries, excluding the IO"
2022-09-01,11052448,Burundi,"All Countries, excluding the IO"
2022-10-01,16179759,Burundi,"All Countries, excluding the IO"
2022-11-01,46417428,Burundi,"All Countries, excluding the IO"
2022-12-01,15953338,Burundi,"All Countries, excluding the IO"
2023-01-01,24088940,Burundi,"All Countries, excluding the IO"
2023-02-01,27046121,Burundi,"All Countries, excluding the IO"
2023-03-01,22487780,Burundi,"All Countries, excluding the IO"
2020-01-01,1057828451.0000001,Uzbekistan,"All Countries, excluding the IO"
2020-02-01,1109173465,Uzbekistan,"All Countries, excluding the IO"
2020-03-01,579033983,Uzbekistan,"All Countries, excluding the IO"
2020-04-01,921667657,Uzbekistan,"All Countries, excluding the IO"
2020-05-01,596487662,Uzbekistan,"All Countries, excluding the IO"
2020-06-01,1009249810,Uzbekistan,"All Countries, excluding the IO"
2020-07-01,1829392045,Uzbekistan,"All Countries, excluding the IO"
2020-08-01,3198745299,Uzbekistan,"All Countries, excluding the IO"
2020-09-01,688662994,Uzbekistan,"All Countries, excluding the IO"
2020-10-01,715201992,Uzbekistan,"All Countries, excluding the IO"
2020-11-01,671569048,Uzbekistan,"All Countries, excluding the IO"
2020-12-01,747217963,Uzbekistan,"All Countries, excluding the IO"
2021-01-01,527178672,Uzbekistan,"All Countries, excluding the IO"
2021-02-01,682792454,Uzbekistan,"All Countries, excluding the IO"
2021-03-01,739135272,Uzbekistan,"All Countries, excluding the IO"
2021-04-01,895968390,Uzbekistan,"All Countries, excluding the IO"
2021-05-01,2018067711,Uzbekistan,"All Countries, excluding the IO"
2021-06-01,1061650466,Uzbekistan,"All Countries, excluding the IO"
2021-07-01,852645019,Uzbekistan,"All Countries, excluding the IO"
2021-08-01,886571483,Uzbekistan,"All Countries, excluding the IO"
2021-09-01,821371481,Uzbekistan,"All Countries, excluding the IO"
2021-10-01,1918339982,Uzbekistan,"All Countries, excluding the IO"
2021-11-01,2772916933,Uzbekistan,"All Countries, excluding the IO"
2021-12-01,904441972,Uzbekistan,"All Countries, excluding the IO"
2022-01-01,1240965976,Uzbekistan,"All Countries, excluding the IO"
2022-02-01,2526296501,Uzbekistan,"All Countries, excluding the IO"
2022-03-01,1444306007,Uzbekistan,"All Countries, excluding the IO"
2022-04-01,1032979524.0000001,Uzbekistan,"All Countries, excluding the IO"
2022-05-01,998852490,Uzbekistan,"All Countries, excluding the IO"
2022-06-01,1064762984,Uzbekistan,"All Countries, excluding the IO"
2022-07-01,962857509,Uzbekistan,"All Countries, excluding the IO"
2022-08-01,1015547001,Uzbekistan,"All Countries, excluding the IO"
2022-09-01,938171992,Uzbekistan,"All Countries, excluding the IO"
2022-10-01,981557999,Uzbekistan,"All Countries, excluding the IO"
2022-11-01,1539499049,Uzbekistan,"All Countries, excluding the IO"
2022-12-01,1603852031,Uzbekistan,"All Countries, excluding the IO"
2023-01-01,1809497778,Uzbekistan,"All Countries, excluding the IO"
2023-02-01,793212034,Uzbekistan,"All Countries, excluding the IO"
2023-03-01,2145492642.0000002,Uzbekistan,"All Countries, excluding the IO"
2020-01-01,397725354,Zimbabwe,"All Countries, excluding the IO"
2020-02-01,365540289,Zimbabwe,"All Countries, excluding the IO"
2020-03-01,272055800,Zimbabwe,"All Countries, excluding the IO"
2020-04-01,200475840,Zimbabwe,"All Countries, excluding the IO"
2020-05-01,298730277,Zimbabwe,"All Countries, excluding the IO"
2020-06-01,329607937,Zimbabwe,"All Countries, excluding the IO"
2020-07-01,286462058,Zimbabwe,"All Countries, excluding the IO"
2020-08-01,389317142,Zimbabwe,"All Countries, excluding the IO"
2020-09-01,398855117,Zimbabwe,"All Countries, excluding the IO"
2020-10-01,439431769,Zimbabwe,"All Countries, excluding the IO"
2020-11-01,528354454.00000006,Zimbabwe,"All Countries, excluding the IO"
2020-12-01,488252463,Zimbabwe,"All Countries, excluding the IO"
2021-01-01,282902635,Zimbabwe,"All Countries, excluding the IO"
2021-02-01,340994941,Zimbabwe,"All Countries, excluding the IO"
2021-03-01,461840855,Zimbabwe,"All Countries, excluding the IO"
2021-04-01,444692641,Zimbabwe,"All Countries, excluding the IO"
2021-05-01,487133817,Zimbabwe,"All Countries, excluding the IO"
2021-06-01,502674044,Zimbabwe,"All Countries, excluding the IO"
2021-07-01,629899249,Zimbabwe,"All Countries, excluding the IO"
2021-08-01,597278591,Zimbabwe,"All Countries, excluding the IO"
2021-09-01,514437150,Zimbabwe,"All Countries, excluding the IO"
2021-10-01,535498780,Zimbabwe,"All Countries, excluding the IO"
2021-11-01,647599916,Zimbabwe,"All Countries, excluding the IO"
2021-12-01,591234242,Zimbabwe,"All Countries, excluding the IO"
2022-01-01,543913448,Zimbabwe,"All Countries, excluding the IO"
2022-02-01,437979537,Zimbabwe,"All Countries, excluding the IO"
2022-03-01,557574610,Zimbabwe,"All Countries, excluding the IO"
2022-04-01,587265948,Zimbabwe,"All Countries, excluding the IO"
2022-05-01,513149727,Zimbabwe,"All Countries, excluding the IO"
2022-06-01,540952371,Zimbabwe,"All Countries, excluding the IO"
2022-07-01,548362737,Zimbabwe,"All Countries, excluding the IO"
2022-08-01,493585346,Zimbabwe,"All Countries, excluding the IO"
2022-09-01,552332271,Zimbabwe,"All Countries, excluding the IO"
2022-10-01,502294837,Zimbabwe,"All Countries, excluding the IO"
2022-11-01,674627807,Zimbabwe,"All Countries, excluding the IO"
2022-12-01,633298183,Zimbabwe,"All Countries, excluding the IO"
2023-01-01,492299511,Zimbabwe,"All Countries, excluding the IO"
2023-02-01,766325273,Zimbabwe,"All Countries, excluding the IO"
2023-03-01,820371569,Zimbabwe,"All Countries, excluding the IO"
2020-01-01,16213287533,Ireland,"All Countries, excluding the IO"
2020-02-01,12280942485,Ireland,"All Countries, excluding the IO"
2020-03-01,19110814798,Ireland,"All Countries, excluding the IO"
2020-04-01,11906756234,Ireland,"All Countries, excluding the IO"
2020-05-01,13701217977,Ireland,"All Countries, excluding the IO"
2020-06-01,14926961758,Ireland,"All Countries, excluding the IO"
2020-07-01,15141845520,Ireland,"All Countries, excluding the IO"
2020-08-01,14906047709,Ireland,"All Countries, excluding the IO"
2020-09-01,16124742748,Ireland,"All Countries, excluding the IO"
2020-10-01,13948829935,Ireland,"All Countries, excluding the IO"
2020-11-01,17194419126,Ireland,"All Countries, excluding the IO"
2020-12-01,14648568778,Ireland,"All Countries, excluding the IO"
2021-01-01,15750726075,Ireland,"All Countries, excluding the IO"
2021-02-01,14505055099,Ireland,"All Countries, excluding the IO"
2021-03-01,16981664204,Ireland,"All Countries, excluding the IO"
2021-04-01,14162556672,Ireland,"All Countries, excluding the IO"
2021-05-01,15856141287,Ireland,"All Countries, excluding the IO"
2021-06-01,17396638155,Ireland,"All Countries, excluding the IO"
2021-07-01,15132693451,Ireland,"All Countries, excluding the IO"
2021-08-01,15128555555,Ireland,"All Countries, excluding the IO"
2021-09-01,16943410769.999998,Ireland,"All Countries, excluding the IO"
2021-10-01,17037650268.000002,Ireland,"All Countries, excluding the IO"
2021-11-01,17361528721,Ireland,"All Countries, excluding the IO"
2021-12-01,14401495009,Ireland,"All Countries, excluding the IO"
2022-01-01,17774500529,Ireland,"All Countries, excluding the IO"
2022-02-01,17440656050,Ireland,"All Countries, excluding the IO"
2022-03-01,21755465509,Ireland,"All Countries, excluding the IO"
2022-04-01,18047564867,Ireland,"All Countries, excluding the IO"
2022-05-01,18497268443,Ireland,"All Countries, excluding the IO"
2022-06-01,17980383379,Ireland,"All Countries, excluding the IO"
2022-07-01,14719563444,Ireland,"All Countries, excluding the IO"
2022-08-01,19294573434,Ireland,"All Countries, excluding the IO"
2022-09-01,19030345569,Ireland,"All Countries, excluding the IO"
2022-10-01,16928220640,Ireland,"All Countries, excluding the IO"
2022-11-01,16782595490,Ireland,"All Countries, excluding the IO"
2022-12-01,15304915502,Ireland,"All Countries, excluding the IO"
2023-01-01,16325673809,Ireland,"All Countries, excluding the IO"
2023-02-01,17384592067,Ireland,"All Countries, excluding the IO"
2023-03-01,19811962605,Ireland,"All Countries, excluding the IO"
2020-01-01,192249363,Guyana,"All Countries, excluding the IO"
2020-02-01,309775708,Guyana,"All Countries, excluding the IO"
2020-03-01,247248888,Guyana,"All Countries, excluding the IO"
2020-04-01,184608188,Guyana,"All Countries, excluding the IO"
2020-05-01,161073421,Guyana,"All Countries, excluding the IO"
2020-06-01,160945158,Guyana,"All Countries, excluding the IO"
2020-07-01,134000823,Guyana,"All Countries, excluding the IO"
