,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE
0,A,F97,TXG_FOB_USD,W00,6,P1Y,2021,923586.872758,2022,1301216.908197
1,A,IQ,TXG_FOB_USD,W00,6,P1Y,2021,81239.605833,2022,124427.845251
2,A,RO,TXG_FOB_USD,W00,6,P1Y,2021,87388.114977,2022,96706.966763
3,A,X88,TXG_FOB_USD,W00,6,P1Y,2021,1411.875549,2022,1566.350022
4,A,FR,TXG_FOB_USD,W00,6,P1Y,2021,585020.854161,2022,618152.685111
5,A,AN,TXG_FOB_USD,W00,6,P1Y,,,,
6,A,SE,TXG_FOB_USD,W00,6,P1Y,2021,189524.794453,2022,197825.954907
7,A,CR,TXG_FOB_USD,W00,6,P1Y,2021,14747.546463,2022,17947.848105
8,A,ZW,TXG_FOB_USD,W00,6,P1Y,2021,5821.624149,2022,5745.176767
9,A,ME,TXG_FOB_USD,W00,6,P1Y,2021,505.755692,2022,742.312921
10,A,SN,TXG_FOB_USD,W00,6,P1Y,2021,5194.857137,2022,4904.300758
11,A,BJ,TXG_FOB_USD,W00,6,P1Y,2021,1023.79946,2022,1337.315407
12,A,XS25,TXG_FOB_USD,W00,6,P1Y,2021,5092716.381076,2022,5585269.15791
13,A,1C_903,TXG_FOB_USD,W00,6,P1Y,2021,1508338.165342,2022,1650202.719731
14,A,CI,TXG_FOB_USD,W00,6,P1Y,2021,15467.737933,2022,16668.575792
15,A,MO,TXG_FOB_USD,W00,6,P1Y,2021,1251.956007,2022,1370.944073
16,A,MZ,TXG_FOB_USD,W00,6,P1Y,2021,5121.37625,2022,7347.487583
17,A,AO,TXG_FOB_USD,W00,6,P1Y,2021,35116.222451,2022,52707.846563
18,A,LA,TXG_FOB_USD,W00,6,P1Y,2021,7898.732029,2022,9509.458036
19,A,CL,TXG_FOB_USD,W00,6,P1Y,2021,93878.024713,2022,97489.095973
20,A,MV,TXG_FOB_USD,W00,6,P1Y,2021,151.28117,2022,159.007612
21,A,AZ,TXG_FOB_USD,W00,6,P1Y,2021,22208.0043,2022,38146.4342
22,A,IS,TXG_FOB_USD,W00,6,P1Y,2021,6054.132505,2022,7402.719309
23,A,BY,TXG_FOB_USD,W00,6,P1Y,2021,39986.9711,2022,34344.776316
24,A,GA,TXG_FOB_USD,W00,6,P1Y,2021,5153.983808,2022,7380.8371
25,A,CN,TXG_FOB_USD,W00,6,P1Y,2021,3368216.972663,2022,3604481.49075
26,A,MD,TXG_FOB_USD,W00,6,P1Y,2021,3142.979849,2022,4246.457282
27,A,NP,TXG_FOB_USD,W00,6,P1Y,2021,1704.092104,2022,1341.554483
28,A,PG,TXG_FOB_USD,W00,6,P1Y,2021,7206.283135,2022,9593.482632
29,A,NG,TXG_FOB_USD,W00,6,P1Y,2021,55738.726174,2022,63262.47994
30,A,AL,TXG_FOB_USD,W00,6,P1Y,2021,3681.100753,2022,4310.142456
