,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE,Obs_11_@TIME_PERIOD,Obs_11_@OBS_VALUE,Obs_12_@TIME_PERIOD,Obs_12_@OBS_VALUE,Obs_13_@TIME_PERIOD,Obs_13_@OBS_VALUE,Obs_14_@TIME_PERIOD,Obs_14_@OBS_VALUE,Obs_15_@TIME_PERIOD,Obs_15_@OBS_VALUE,Obs_16_@TIME_PERIOD,Obs_16_@OBS_VALUE,Obs_17_@TIME_PERIOD,Obs_17_@OBS_VALUE,Obs_18_@TIME_PERIOD,Obs_18_@OBS_VALUE,Obs_19_@TIME_PERIOD,Obs_19_@OBS_VALUE,Obs_20_@TIME_PERIOD,Obs_20_@OBS_VALUE,Obs_21_@TIME_PERIOD,Obs_21_@OBS_VALUE,Obs_22_@TIME_PERIOD,Obs_22_@OBS_VALUE,Obs_23_@TIME_PERIOD,Obs_23_@OBS_VALUE
0,M,R14,TXG_FOB_USD,W00,6,P1M,2021-01,40186.128784,2021-02,44785.224888,2021-03,53016.280892,2021-04,55791.115973,2021-05,53680.901583,2021-06,61239.153411,2021-07,62432.140718,2021-08,62512.353549,2021-09,63471.069258,2021-10,68087.811526,2021-11,72451.408559,2021-12,79180.169814,2022-01,82214.603709,2022-02,84723.727679,2022-03,81373.259602,2022-04,77351.985963,2022-05,69320.150111,2022-06,69026.717538,2022-07,63144.689552,2022-08,63643.416318,2022-09,61783.644857,2022-10,58116.33731,2022-11,55535.052873,2022-12,52499.269371
1,M,BI,TXG_FOB_USD,W00,6,P1M,2021-01,12.568329,2021-02,18.313525,2021-03,13.805664,2021-04,10.498034,2021-05,11.575686,2021-06,8.908862,2021-07,5.753778,2021-08,3.888552,2021-09,6.557296,2021-10,4.975375,2021-11,8.215437,2021-12,7.778813,2022-01,10.987846,2022-02,9.73281,2022-03,10.027058,2022-04,8.997653,2022-05,6.838415,2022-06,9.345502,2022-07,7.469136,2022-08,6.525209,2022-09,5.414584,2022-10,9.993217,2022-11,8.404395,2022-12,12.385034
2,M,UZ,TXG_FOB_USD,W00,6,P1M,2021-01,528.901635,2021-02,677.368194,2021-03,724.755606,2021-04,900.339033,2021-05,2026.4873,2021-06,1064.246509,2021-07,842.067236,2021-08,903.545511,2021-09,818.915195,2021-10,1874.855306,2021-11,2793.499843,2021-12,908.280114,2022-01,1222.963403,2022-02,2524.98323,2022-03,1458.083082,2022-04,1042.076897,2022-05,1001.11206,2022-06,858.539484,2022-07,770.874986,2022-08,697.67922,2022-09,832.332063,2022-10,659.812899,2022-11,2344.793497,2022-12,840.11476
3,M,ZW,TXG_FOB_USD,W00,6,P1M,2021-01,254.902455,2021-02,384.779774,2021-03,394.254803,2021-04,421.976796,2021-05,696.251358,2021-06,420.62743,2021-07,489.409462,2021-08,567.386292,2021-09,631.740681,2021-10,590.244236,2021-11,557.346131,2021-12,412.704731,2022-01,477.526206,2022-02,416.80223,2022-03,483.33538,2022-04,471.184738,2022-05,467.894408,2022-06,463.800943,2022-07,484.712474,2022-08,506.883253,2022-09,509.161663,2022-10,532.261732,2022-11,468.791644,2022-12,462.822096
4,M,IE,TXG_FOB_USD,W00,6,P1M,2021-01,15750.726123,2021-02,14505.055128,2021-03,16981.664295,2021-04,14162.55666,2021-05,15856.14125,2021-06,17396.638153,2021-07,15132.693442,2021-08,15128.555567,2021-09,16943.410781,2021-10,17037.650223,2021-11,17361.52884,2021-12,14401.495085,2022-01,17774.500561,2022-02,17440.656046,2022-03,21755.465482,2022-04,18047.564867,2022-05,18497.268498,2022-06,17980.383385,2022-07,14719.563481,2022-08,19294.573495,2022-09,19030.345535,2022-10,16928.220653,2022-11,17217.597976,2022-12,15304.915502
5,M,GY,TXG_FOB_USD,W00,6,P1M,2021-01,300.973183,2021-02,349.757828,2021-03,463.966266,2021-04,314.716374,2021-05,271.685831,2021-06,336.041839,2021-07,438.744701,2021-08,293.056045,2021-09,341.352972,2021-10,436.029836,2021-11,389.51846,2021-12,320.859542,2022-01,445.435468,2022-02,280.902881,2022-03,192.244191,2022-04,197.170711,2022-05,454.920265,2022-06,1152.209712,2022-07,665.492015,2022-08,1212.002521,2022-09,1022.89241,2022-10,948.314279,2022-11,771.181729,2022-12,781.128178
6,M,MN,TXG_FOB_USD,W00,6,P1M,2021-01,588.623961,2021-02,653.682393,2021-03,639.171119,2021-04,484.873382,2021-05,819.759217,2021-06,767.466235,2021-07,636.214207,2021-08,903.238524,2021-09,831.397759,2021-10,1164.821099,2021-11,1355.550071,2021-12,432.485689,2022-01,543.656804,2022-02,634.60985,2022-03,743.674445,2022-04,848.124962,2022-05,1214.750721,2022-06,1157.570436,2022-07,1093.303798,2022-08,1212.748603,2022-09,1198.047068,2022-10,1340.578126,2022-11,1746.064119,2022-12,1543.738218
7,M,BB,TXG_FOB_USD,W00,6,P1M,2021-01,17.162509,2021-02,21.28933,2021-03,31.1582,2021-04,23.129407,2021-05,23.514015,2021-06,23.492008,2021-07,21.190203,2021-08,20.481177,2021-09,23.0521,2021-10,23.52473,2021-11,24.088829,2021-12,23.445135,2022-01,19.848928,2022-02,20.562565,2022-03,31.652392,2022-04,24.865565,2022-05,29.095469,2022-06,24.319129,2022-07,27.877624,2022-08,38.748317,2022-09,31.055045,2022-10,22.785043,2022-11,24.453612,2022-12,24.803507
8,M,B0,TXG_FOB_USD,W00,6,P1M,2021-01,481619.656199,2021-02,511516.108867,2021-03,600862.202686,2021-04,548889.641721,2021-05,545978.991707,2021-06,588275.463977,2021-07,554963.62547,2021-08,490169.09936,2021-09,577830.440277,2021-10,579832.828924,2021-11,602875.971774,2021-12,564334.140356,2022-01,552002.017704,2022-02,581289.695709,2022-03,658270.485022,2022-04,578350.698292,2022-05,621277.243858,2022-06,628190.022306,2022-07,565573.673501,2022-08,548629.196749,2022-09,615456.530527,2022-10,585223.033477,2022-11,635207.706745,2022-12,580641.443013
9,M,RU,TXG_FOB_USD,W00,6,P1M,2021-01,27007.12724,2021-02,30232.844861,2021-03,36479.728084,2021-04,36829.240129,2021-05,35199.383929,2021-06,42998.701983,2021-07,43387.246587,2021-08,43048.814669,2021-09,45410.549753,2021-10,46227.198309,2021-11,48012.458251,2021-12,57214.765113,2022-01,60675.415129,2022-02,62763.950401,2022-03,63932.948933,2022-04,57784.670771,2022-05,48734.268692,2022-06,47907.863111,2022-07,43256.348872,2022-08,43031.106849,2022-09,39878.890869,2022-10,36225.623582,2022-11,35202.612857,2022-12,33077.350766
