,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT
0,A,F97,TXG_FOB_USD,W00,6,P1Y
1,A,IQ,TXG_FOB_USD,W00,6,P1Y
2,A,RO,TXG_FOB_USD,W00,6,P1Y
3,A,X88,TXG_FOB_USD,W00,6,P1Y
4,A,FR,TXG_FOB_USD,W00,6,P1Y
5,A,AN,TXG_FOB_USD,W00,6,P1Y
6,A,SE,TXG_FOB_USD,W00,6,P1Y
7,A,CR,TXG_FOB_USD,W00,6,P1Y
8,A,ZW,TXG_FOB_USD,W00,6,P1Y
9,A,ME,TXG_FOB_USD,W00,6,P1Y
10,A,SN,TXG_FOB_USD,W00,6,P1Y
11,A,BJ,TXG_FOB_USD,W00,6,P1Y
12,A,XS25,TXG_FOB_USD,W00,6,P1Y
13,A,1C_903,TXG_FOB_USD,W00,6,P1Y
14,A,CI,TXG_FOB_USD,W00,6,P1Y
15,A,MO,TXG_FOB_USD,W00,6,P1Y
16,A,MZ,TXG_FOB_USD,W00,6,P1Y
17,A,AO,TXG_FOB_USD,W00,6,P1Y
18,A,LA,TXG_FOB_USD,W00,6,P1Y
19,A,CL,TXG_FOB_USD,W00,6,P1Y
20,A,MV,TXG_FOB_USD,W00,6,P1Y
21,A,AZ,TXG_FOB_USD,W00,6,P1Y
22,A,IS,TXG_FOB_USD,W00,6,P1Y
23,A,BY,TXG_FOB_USD,W00,6,P1Y
24,A,GA,TXG_FOB_USD,W00,6,P1Y
25,A,CN,TXG_FOB_USD,W00,6,P1Y
26,A,MD,TXG_FOB_USD,W00,6,P1Y
27,A,NP,TXG_FOB_USD,W00,6,P1Y
28,A,PG,TXG_FOB_USD,W00,6,P1Y
29,A,NG,TXG_FOB_USD,W00,6,P1Y
30,A,AL,TXG_FOB_USD,W00,6,P1Y
31,A,MK,TXG_FOB_USD,W00,6,P1Y
32,A,MR,TXG_FOB_USD,W00,6,P1Y
33,A,R1,TXG_FOB_USD,W00,6,P1Y
34,A,BA,TXG_FOB_USD,W00,6,P1Y
35,A,GM,TXG_FOB_USD,W00,6,P1Y
36,A,BO,TXG_FOB_USD,W00,6,P1Y
37,A,BI,TXG_FOB_USD,W00,6,P1Y
38,A,GB,TXG_FOB_USD,W00,6,P1Y
39,A,OM,TXG_FOB_USD,W00,6,P1Y
40,A,NE,TXG_FOB_USD,W00,6,P1Y
41,A,SC,TXG_FOB_USD,W00,6,P1Y
42,A,GY,TXG_FOB_USD,W00,6,P1Y
43,A,BS,TXG_FOB_USD,W00,6,P1Y
44,A,IT,TXG_FOB_USD,W00,6,P1Y
45,A,RW,TXG_FOB_USD,W00,6,P1Y
46,A,HR,TXG_FOB_USD,W00,6,P1Y
47,A,UA,TXG_FOB_USD,W00,6,P1Y
48,A,1C_440,TXG_FOB_USD,W00,6,P1Y
49,A,GR,TXG_FOB_USD,W00,6,P1Y
50,A,CSH,TXG_FOB_USD,W00,6,P1Y
51,A,VE,TXG_FOB_USD,W00,6,P1Y
52,A,AT,TXG_FOB_USD,W00,6,P1Y
53,A,IR,TXG_FOB_USD,W00,6,P1Y
54,A,1C_092,TXG_FOB_USD,W00,6,P1Y
55,A,YE,TXG_FOB_USD,W00,6,P1Y
56,A,SY,TXG_FOB_USD,W00,6,P1Y
57,A,TR,TXG_FOB_USD,W00,6,P1Y
58,A,EE,TXG_FOB_USD,W00,6,P1Y
59,A,SL,TXG_FOB_USD,W00,6,P1Y
60,A,ZA,TXG_FOB_USD,W00,6,P1Y
61,A,SG,TXG_FOB_USD,W00,6,P1Y
62,A,PH,TXG_FOB_USD,W00,6,P1Y
63,A,GT,TXG_FOB_USD,W00,6,P1Y
64,A,KZ,TXG_FOB_USD,W00,6,P1Y
65,A,HN,TXG_FOB_USD,W00,6,P1Y
66,A,SUH,TXG_FOB_USD,W00,6,P1Y
67,A,F6,TXG_FOB_USD,W00,6,P1Y
68,A,SD,TXG_FOB_USD,W00,6,P1Y
69,A,BR,TXG_FOB_USD,W00,6,P1Y
70,A,GW,TXG_FOB_USD,W00,6,P1Y
71,A,ML,TXG_FOB_USD,W00,6,P1Y
72,A,BG,TXG_FOB_USD,W00,6,P1Y
73,A,QA,TXG_FOB_USD,W00,6,P1Y
