,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_@TIME_PERIOD,Obs_@OBS_VALUE
0,M,R14,TXG_FOB_USD,W00,6,P1M,2023-01,59846.21533
1,M,BI,TXG_FOB_USD,W00,6,P1M,2023-01,27.73575
2,M,UZ,TXG_FOB_USD,W00,6,P1M,2023-01,1809.497778
3,M,ZW,TXG_FOB_USD,W00,6,P1M,2023-01,457.097025
4,M,IE,TXG_FOB_USD,W00,6,P1M,2023-01,16325.673809
5,M,GY,TXG_FOB_USD,W00,6,P1M,2023-01,343.037706
6,M,MN,TXG_FOB_USD,W00,6,P1M,2023-01,1733.366926
7,M,BB,TXG_FOB_USD,W00,6,P1M,2023-01,22.599362
8,M,B0,TXG_FOB_USD,W00,6,P1M,2023-01,568811.438736
9,M,RU,TXG_FOB_USD,W00,6,P1M,2023-01,35996.021876
10,M,XR43,TXG_FOB_USD,W00,6,P1M,2023-01,839377.878175
11,M,NL,TXG_FOB_USD,W00,6,P1M,2023-01,77375.874631
12,M,MY,TXG_FOB_USD,W00,6,P1M,2023-01,26023.396134
13,M,1C_092,TXG_FOB_USD,W00,6,P1M,2023-01,679920.866325
14,M,LU,TXG_FOB_USD,W00,6,P1M,2023-01,1447.139476
15,M,LV,TXG_FOB_USD,W00,6,P1M,2023-01,1907.17069
16,M,1C_080,TXG_FOB_USD,W00,6,P1M,2023-01,159457.01185
17,M,SO,TXG_FOB_USD,W00,6,P1M,2023-01,43.093395
18,M,MD,TXG_FOB_USD,W00,6,P1M,2023-01,249.643909
19,M,DK,TXG_FOB_USD,W00,6,P1M,2023-01,11402.692591
20,M,CL,TXG_FOB_USD,W00,6,P1M,2023-01,8923.612953
21,M,FR,TXG_FOB_USD,W00,6,P1M,2023-01,51519.424191
22,M,LC,TXG_FOB_USD,W00,6,P1M,2023-01,3.49639
23,M,X88,TXG_FOB_USD,W00,6,P1M,2023-01,167.623335
24,M,KP,TXG_FOB_USD,W00,6,P1M,2023-01,31.693433
25,M,TJ,TXG_FOB_USD,W00,6,P1M,2023-01,62.7137
26,M,NZ,TXG_FOB_USD,W00,6,P1M,2023-01,3503.90012
27,M,CF,TXG_FOB_USD,W00,6,P1M,2023-01,2.719377
28,M,GN,TXG_FOB_USD,W00,6,P1M,2023-01,296.19115
29,M,NG,TXG_FOB_USD,W00,6,P1M,2023-01,4544.31126
30,M,BM,TXG_FOB_USD,W00,6,P1M,2023-01,3.750006
31,M,KZ,TXG_FOB_USD,W00,6,P1M,2023-01,12155.01393
32,M,VC,TXG_FOB_USD,W00,6,P1M,2023-01,0.578835
33,M,AF,TXG_FOB_USD,W00,6,P1M,2023-01,37.7839
34,M,DO,TXG_FOB_USD,W00,6,P1M,2023-01,982.366738
35,M,ST,TXG_FOB_USD,W00,6,P1M,2023-01,1.714637
36,M,TD,TXG_FOB_USD,W00,6,P1M,2023-01,209.357209
37,M,SK,TXG_FOB_USD,W00,6,P1M,2023-01,8792.393281
38,M,PG,TXG_FOB_USD,W00,6,P1M,2023-01,844.323618
39,M,CU,TXG_FOB_USD,W00,6,P1M,2023-01,135.929902
40,M,BS,TXG_FOB_USD,W00,6,P1M,2023-01,340.298162
41,M,TH,TXG_FOB_USD,W00,6,P1M,2023-01,23121.676963
42,M,GM,TXG_FOB_USD,W00,6,P1M,2023-01,3.4766
43,M,AE,TXG_FOB_USD,W00,6,P1M,2023-01,28578.185345
44,M,QA,TXG_FOB_USD,W00,6,P1M,2023-01,9333.038917
45,M,PA,TXG_FOB_USD,W00,6,P1M,2023-01,372.405026
46,M,AL,TXG_FOB_USD,W00,6,P1M,2023-01,389.978248
47,M,ID,TXG_FOB_USD,W00,6,P1M,2023-01,24149.03085
48,M,CM,TXG_FOB_USD,W00,6,P1M,2023-01,245.085103
49,M,CI,TXG_FOB_USD,W00,6,P1M,2023-01,2825.114909
50,M,BF,TXG_FOB_USD,W00,6,P1M,2023-01,114.011396
51,M,KH,TXG_FOB_USD,W00,6,P1M,2023-01,1840.909248
52,M,BG,TXG_FOB_USD,W00,6,P1M,2023-01,3972.722877
53,M,LT,TXG_FOB_USD,W00,6,P1M,2023-01,3504.561144
54,M,HT,TXG_FOB_USD,W00,6,P1M,2023-01,58.515899
55,M,W00,TXG_FOB_USD,W00,6,P1M,2023-01,1917442.421899
56,M,CY,TXG_FOB_USD,W00,6,P1M,2023-01,145.571237
57,M,VU,TXG_FOB_USD,W00,6,P1M,2023-01,7.687755
58,M,BO,TXG_FOB_USD,W00,6,P1M,2023-01,917.666023
59,M,MR,TXG_FOB_USD,W00,6,P1M,2023-01,241.754596
60,M,CS,TXG_FOB_USD,W00,6,P1M,,
61,M,AW,TXG_FOB_USD,W00,6,P1M,2023-01,6.366703
62,M,SE,TXG_FOB_USD,W00,6,P1M,2023-01,15813.618444
63,M,HU,TXG_FOB_USD,W00,6,P1M,2023-01,13057.169215
64,M,ET,TXG_FOB_USD,W00,6,P1M,2023-01,235.273409
65,M,1C_473,TXG_FOB_USD,W00,6,P1M,,
66,M,ZM,TXG_FOB_USD,W00,6,P1M,2023-01,2481.36143
67,M,DM,TXG_FOB_USD,W00,6,P1M,2023-01,2.368952
68,M,PY,TXG_FOB_USD,W00,6,P1M,2023-01,553.29632
69,M,AN,TXG_FOB_USD,W00,6,P1M,,
