date,GDP,reporter
2019-01-01,3368970253.05286,Aruba
2020-01-01,2610038937.56355,Aruba
2021-01-01,3126019399.06492,Aruba
2019-01-01,18904490262.913,Afghanistan
2020-01-01,20143442150.971,Afghanistan
2021-01-01,14786861638.4535,Afghanistan
2019-01-01,69309110145.7687,Angola
2020-01-01,53619073505.1377,Angola
2021-01-01,67404287260.3199,Angola
2019-01-01,15401830754.0773,Albania
2020-01-01,15131866270.5936,Albania
2021-01-01,18255787479.1846,Albania
2019-01-01,3155065487.51819,Andorra
2020-01-01,2891022272.98687,Andorra
2021-01-01,3330281523.5391502,Andorra
2019-01-01,2818359324481.87,Arab World
2020-01-01,2491175410790,Arab World
2021-01-01,2862987423061.49,Arab World
2019-01-01,417989721734.494,United Arab Emirates
2020-01-01,349473015336.939,United Arab Emirates
2021-01-01,415021590683.006,United Arab Emirates
2019-01-01,447754609218.678,Argentina
2020-01-01,385540224628.292,Argentina
2021-01-01,487227339102.67,Argentina
2019-01-01,13619291361.2814,Armenia
2020-01-01,12641697523.2966,Armenia
2021-01-01,13861409968.835,Armenia
2019-01-01,647000000,American Samoa
2020-01-01,716000000,American Samoa
2021-01-01,709000000,American Samoa
2019-01-01,1687533333.33333,Antigua and Barbuda
2020-01-01,1370281481.48148,Antigua and Barbuda
2021-01-01,1471125925.92593,Antigua and Barbuda
2019-01-01,1392227864397.08,Australia
2020-01-01,1326901059123.21,Australia
2021-01-01,1552667363236.06,Australia
2019-01-01,444621176100.548,Austria
2020-01-01,435225238000.437,Austria
2021-01-01,480368403893.364,Austria
2019-01-01,48174235294.1176,Azerbaijan
2020-01-01,42693000000,Azerbaijan
2021-01-01,54622176470.5882,Azerbaijan
2019-01-01,2576518846.39,Burundi
2020-01-01,2649671998.86192,Burundi
2021-01-01,2779813489.02447,Burundi
2019-01-01,535830876745.097,Belgium
2020-01-01,525211810652.608,Belgium
2021-01-01,594104177539.525,Belgium
2019-01-01,14391686309.033,Benin
2020-01-01,15651545208.8783,Benin
2021-01-01,17144918952.4682,Benin
2019-01-01,16178162030.0694,Burkina Faso
2020-01-01,17933606353.1775,Burkina Faso
2021-01-01,19737615114.3661,Burkina Faso
2019-01-01,351238474244.667,Bangladesh
2020-01-01,373902134700.41,Bangladesh
2021-01-01,416264942893.326,Bangladesh
2019-01-01,68915875214.6537,Bulgaria
2020-01-01,70240275010.1964,Bulgaria
2021-01-01,84056312734.3089,Bulgaria
2019-01-01,38653318085.1064,Bahrain
2020-01-01,34723357446.8085,Bahrain
2021-01-01,38868663031.9149,Bahrain
2019-01-01,13192800000,"Bahamas, The"
2020-01-01,9699500000,"Bahamas, The"
2021-01-01,11208600000,"Bahamas, The"
2019-01-01,20202479537.5193,Bosnia and Herzegovina
2020-01-01,19950471170.6465,Bosnia and Herzegovina
2021-01-01,23365361635.2201,Bosnia and Herzegovina
2019-01-01,64409647193.8044,Belarus
2020-01-01,61371126414.1663,Belarus
2021-01-01,68205380706.6609,Belarus
2019-01-01,2416500000,Belize
2020-01-01,2080000000,Belize
2021-01-01,2491500000,Belize
2019-01-01,7423465000,Bermuda
2020-01-01,6887147000,Bermuda
2021-01-01,7286607000,Bermuda
2019-01-01,40895322843.7851,Bolivia
2020-01-01,36629843805.0216,Bolivia
2021-01-01,40408208528.1599,Bolivia
2019-01-01,1873274432754.47,Brazil
2020-01-01,1448559976218.19,Brazil
2021-01-01,1608981456325.08,Brazil
2019-01-01,5324250000,Barbados
2020-01-01,4671800000,Barbados
2021-01-01,4843800000,Barbados
2019-01-01,13469422958.5105,Brunei Darussalam
2020-01-01,12005825759.223,Brunei Darussalam
2021-01-01,14006569575.68,Brunei Darussalam
2019-01-01,2535657069.05537,Bhutan
2020-01-01,2325184481.4277,Bhutan
2021-01-01,2539552984.67797,Bhutan
2019-01-01,16695928792.5697,Botswana
2020-01-01,14930072458.5814,Botswana
2021-01-01,17614791265.6824,Botswana
2019-01-01,2221301400.72468,Central African Republic
2020-01-01,2326720920.59223,Central African Republic
2021-01-01,2516498299.01212,Central African Republic
2019-01-01,1742015045482.31,Canada
2020-01-01,1645423407568.36,Canada
2021-01-01,1988336331717.42,Canada
2019-01-01,1675083820501.22,Central Europe and the Baltics
2020-01-01,1664902507747.84,Central Europe and the Baltics
2021-01-01,1901935313869.67,Central Europe and the Baltics
2019-01-01,721369112726.724,Switzerland
2020-01-01,739913619797.445,Switzerland
2021-01-01,800640155387.26,Switzerland
2019-01-01,278584733103.01,Chile
2020-01-01,252727193710.018,Chile
2021-01-01,317058508651.76,Chile
2019-01-01,14279937500606.5,China
2020-01-01,14687673892882,China
2021-01-01,17734062645371.4,China
2019-01-01,58539424929.7248,Cote d'Ivoire
2020-01-01,61348579465.1017,Cote d'Ivoire
2021-01-01,70043191477.0454,Cote d'Ivoire
2019-01-01,39670977332.7348,Cameroon
2020-01-01,40773241531.2395,Cameroon
2021-01-01,45338283344.8175,Cameroon
2019-01-01,51775830725.8441,"Congo, Dem. Rep."
2020-01-01,48716960860.0664,"Congo, Dem. Rep."
2021-01-01,55350968593.0597,"Congo, Dem. Rep."
2019-01-01,12750339022.9915,"Congo, Rep."
2020-01-01,10483151175.8451,"Congo, Rep."
2021-01-01,13366230219.5352,"Congo, Rep."
2019-01-01,323109540251.855,Colombia
2020-01-01,270299984937.97,Colombia
2021-01-01,314464137241.33,Colombia
2019-01-01,1195019559.09381,Comoros
2020-01-01,1225039230.74083,Comoros
2021-01-01,1296089632.60039,Comoros
2019-01-01,1981845740.70615,Cabo Verde
