,@FREQ,@REF_AREA,@INDICATOR,@COUNTERPART_AREA,@UNIT_MULT,@TIME_FORMAT,Obs_0_@TIME_PERIOD,Obs_0_@OBS_VALUE,Obs_1_@TIME_PERIOD,Obs_1_@OBS_VALUE,Obs_2_@TIME_PERIOD,Obs_2_@OBS_VALUE,Obs_3_@TIME_PERIOD,Obs_3_@OBS_VALUE,Obs_4_@TIME_PERIOD,Obs_4_@OBS_VALUE,Obs_5_@TIME_PERIOD,Obs_5_@OBS_VALUE,Obs_6_@TIME_PERIOD,Obs_6_@OBS_VALUE,Obs_7_@TIME_PERIOD,Obs_7_@OBS_VALUE,Obs_8_@TIME_PERIOD,Obs_8_@OBS_VALUE,Obs_9_@TIME_PERIOD,Obs_9_@OBS_VALUE,Obs_10_@TIME_PERIOD,Obs_10_@OBS_VALUE
0,M,R14,TXG_FOB_USD,W00,6,P1M,2022-01,84924.351794,2022-02,83269.108742,2022-03,84500.293157,2022-04,94435.231897,2022-05,83345.106984,2022-06,91396.683134,2022-07,87287.444049,2022-08,98651.717572,2022-09,104527.871616,2022-10,99999.700078,2022-11,95571.845332
1,M,BI,TXG_FOB_USD,W00,6,P1M,2022-01,27.425417,2022-02,17.895871,2022-03,16.809402,2022-04,23.401022,2022-05,11.944894,2022-06,13.430415,2022-07,4.017569,2022-08,6.80879,2022-09,10.679294,2022-10,19.153445,2022-11,13.223798
2,M,UZ,TXG_FOB_USD,W00,6,P1M,2022-01,1222.963403,2022-02,2524.98323,2022-03,1458.083082,2022-04,1042.076897,2022-05,1001.11206,2022-06,805.239386,2022-07,725.532001,2022-08,704.925802,2022-09,816.70434,2022-10,476.938909,2022-11,584.186488
3,M,ZW,TXG_FOB_USD,W00,6,P1M,2022-01,493.729805,2022-02,465.040873,2022-03,456.747977,2022-04,461.963752,2022-05,468.305948,2022-06,450.038145,2022-07,469.218774,2022-08,502.049478,2022-09,501.527187,2022-10,535.441235,2022-11,530.111466
4,M,IE,TXG_FOB_USD,W00,6,P1M,2022-01,17774.50056,2022-02,17440.656025,2022-03,21755.465471,2022-04,18047.5649,2022-05,18497.268486,2022-06,17980.383374,2022-07,14719.56349,2022-08,19294.573505,2022-09,19030.345545,2022-10,16928.220655,2022-11,14330.485921
5,M,GY,TXG_FOB_USD,W00,6,P1M,2022-01,196.859848,2022-02,171.382163,2022-03,150.808036,2022-04,153.141178,2022-05,159.33398,2022-06,286.282894,2022-07,144.705104,2022-08,238.202298,2022-09,153.833317,2022-10,140.711236,2022-11,167.82858
6,M,MN,TXG_FOB_USD,W00,6,P1M,2022-01,541.983994,2022-02,631.378384,2022-03,738.627819,2022-04,841.496216,2022-05,1201.5517,2022-06,1146.237904,2022-07,1083.849499,2022-08,1201.828441,2022-09,945.529548,2022-10,1310.995907,2022-11,1476.886564
7,M,BB,TXG_FOB_USD,W00,6,P1M,2022-01,40.62434,2022-02,40.050194,2022-03,60.223358,2022-04,43.048901,2022-05,36.948451,2022-06,32.394818,2022-07,36.064602,2022-08,48.280913,2022-09,58.449455,2022-10,54.801094,2022-11,63.967184
8,M,B0,TXG_FOB_USD,W00,6,P1M,2022-01,552322.181427,2022-02,581895.83512,2022-03,658533.14517,2022-04,578395.591103,2022-05,621140.844015,2022-06,627774.153602,2022-07,565743.110848,2022-08,548777.051429,2022-09,615197.201401,2022-10,583977.267724,2022-11,574746.484653
9,M,RU,TXG_FOB_USD,W00,6,P1M,2022-01,63428.435851,2022-02,61383.027494,2022-03,67179.965135,2022-04,75019.764244,2022-05,62847.171301,2022-06,70444.645785,2022-07,66613.554389,2022-08,77662.794673,2022-09,79717.0771,2022-10,72640.348914,2022-11,71520.436792
