date,reporter,partner,value,code,desc
2020-01-01,USA,World,6309678,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Brazil,35427,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Canada,167694,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,China,283974,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Dominican Rep.,13658,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,France,16166,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Indonesia,5371,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Mexico,140103,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Portugal,27112,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Serbia,2750,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,India,390967,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Viet Nam,151880,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Spain,99147,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-01-01,USA,Türkiye,4975429,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-02-01,USA,World,7083130,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-02-01,USA,Canada,129060,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-02-01,USA,China,405580,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-02-01,USA,Dominican Rep.,10995,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-02-01,USA,Italy,73498,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-02-01,USA,Mexico,93395,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-02-01,USA,Portugal,35612,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-02-01,USA,India,425126,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-02-01,USA,Viet Nam,7622,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-02-01,USA,Türkiye,5881539,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-02-01,USA,United Kingdom,20703,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,World,10971588,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,Belgium,8694,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,Canada,394472,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,China,217063,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,France,93942,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,Germany,2794,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,Italy,141874,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,Mexico,123866,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,Pakistan,3000,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,Portugal,5929,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,India,3187631,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,Spain,66215,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-03-01,USA,Türkiye,6726108,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-04-01,USA,World,10739090,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-04-01,USA,Belgium,91687,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-04-01,USA,Canada,279009,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-04-01,USA,China,5224,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-04-01,USA,Finland,4082,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-04-01,USA,France,5528,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-04-01,USA,Italy,108528,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-04-01,USA,Japan,24395,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
2020-04-01,USA,Mexico,113298,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)"
